白葱 1/2~1本
塩鮭 １切れ
焼肉用ハラミ肉 ５枚
☆ドライイースト 3グラム
塩・胡椒 少々
※卵 １個
板チョコ １枚(65g)
●天ぷら粉 大3
ピーマン 2コ
納豆 １パック
ケチャップ 大さじ1程度
ホエー 40～50cc
フルーツトマト １個
・お湯 １００ｍｌ
生クリーム 適量
水菜 １把
ゆで卵 1個（ウルトラマンの目）
サンチュ（またはサラダ菜） 10枚
小麦粉 80g
もやし 1/2袋
合挽き肉 30～50ｇ（お好みで）
しらたき 適量
豆腐 ３００ｇ（２／３丁）
A　合びき肉 ２５０ｇ
塩 小1
☆ 鶏胸肉 １枚
ごま油 大さじ１
Ａ薄力粉 20㌘
水 200CC
トマト（中） ３個
ちくわ 2本
豆腐 １丁
マーガリン 適量
柚子の皮 1個分
とろけるチーズ 適量
寒天 ４ｇ
○ﾌﾞﾛｯｺﾘｰ １株
＊小麦粉 適量
たまご ２個
三温糖 70g
納豆 1パック
◆ココアパウダー（無糖） 15～20g　（お好みで）
☆米粉 １８０ｇ
ハム 適量
塩漬け高菜 適量
トマトソース 150ｇ
砂糖 大さじ５～８位
リンゴ 1/4個
じゃがいも 大1～2個
バター 40g
小麦粉 １００ｇ
ヨーグルト １２０ｇ
オリーブ油 １００グラム
胡瓜 80g
おろし生姜 小さじ1
こんにゃく 一丁
　玉ねぎ 中1個
カニかまぼこ 1パック
人参 中1/2本
じめじ 1株
牛乳 ２００ｃｃ
砂糖 ４０ｇ
☆醤油（こいくちの方がいい） 大さじ２
米 ２合
醤油 大１
ベーコン（切り落とし） 200g
玉ねぎ 中１個
たまねぎ １個
卵 2個
豆もやし又はもやし 適量
砂糖 ３０ｇ
ヨーグルト 100ｇ
玉ねぎ １/２個
☆片栗粉（つなぎ） 大１
てんさい糖（砂糖でもＯＫ） １５０ｇ
ゆで卵 ３個
熱湯 ７０ｇ
梅干し（食べ付けている物でOK）2個 今回は白干し使用
水 １００ｍｌ
米粉 100ｇ
パン 何斤でも
卵 2個
昆布 4×4ｃｍくらい
牛乳 150ｃｃ程度
鶏レバー 製氷皿１キューブ
ブロッコリー（茹でて） １／３個分くらい
生クリーム 300ｃｃ
マヨネーズ 適量
卵 １個
ベーコン 3枚
グラニュー糖 80ｇ
グレープフルーツ １/４個
タコ 好きな分だけ
ブルーベリージャム 大さじ１程度
ほうれんそう １／２束
かにカマ ロングタイプ2本
塩 少々
大葉 3枚
水 １４５ｍｌ
○にんにくの芽 １束
ちくわ ４本
生クリーム 200ｃｃ
玉ねぎ １／２個
明太子 1/2腹（30g）
つくし ５０g
豆腐 半丁（お好みです！）
山芋摩り下ろし（蓮根で代用可/コツ・ポイント参照） 約100g
塩 適量
ココナッツミルク 200ml
豆の甘煮 好きなだけ
ブロックベーコン　棒切り ６センチ分
残ったシチュー パンが隠れる程度
生クリーム 200ｃｃ
砂糖 １５ｇ
納豆 １パック
ご飯（ジャガイモでも可） １００ｇ
溶き卵 １個
片栗粉 適量
ちくわ １本
☆すじ（下処理済） ８本
粉寒天 ２ｇ
マーマレードジャム １瓶（１６５g～）
キャベツ 1枚
純ココア ３５ｇ
牛切り落とし 200ｇ
砂糖 50ｇ
卵 1個
鶏がらスープの素 小さじ２
塩 1ｇ（2ｇ）
味噌 大1
トマトホール缶(できればトマトのカットの方を) １缶
豆腐 150g
↑洗うのに塩 多目
砂糖 大６
市販チョコのデコペン 1種類～
ベビーチーズ 3個ぐらい
○帆立 10個位
ニラ半束 60ｇ
バター 30ｇ
ベーキングパウダー 小１強
米粉 ５０ｇ
らっきょ 5〜6個
塩 ひとつまみ
きなこ ２０ｇ
100％リンゴジュース 180g
顆粒だし 大3
●しょうゆ 50cc
豆腐 1/4丁
薄力粉 １００ｇ
アスパラガス 10本
砂糖 15g
香味野菜（にら、ねぎ、しょうがなど） たっぷり（得にしょうが！）
豚ひき肉 １００～１５０ｇ
グラニュー糖 １２０ｇ
スライスチーズ 2枚
米粉（上新粉） 200g
砂糖 15g
長ネギ 中２/１
ホワイトソース お好きなだけ
ピーマン 2個
でんぷん（片栗粉） 適宜
プレーンヨーグルト（無脂肪タイプ） 100ｇ
切り干し大根（乾燥） 20g
のり １枚
☆ツナ缶 1缶　
オリーブオイル 大さじ１
薄力粉 ３０g
出汁（レシピID：1057650 ） 大匙　6
ごま油 大さじ3
豚挽き肉（赤身） ～２０ｇ
キムチ お好みの量
☆牛乳 500cc
砂糖 １０ｇ
小麦粉 30g
海苔の佃煮(ごはんですよがお勧め！) 大さじ1/2
インスタントドライイースト ６ｇ
土しょうが ７０ｇ
豆腐 150g
鶏がらスープの素 小さじ５杯
山芋 ３センチくらい
ご飯 １膳
小松菜 ２束
砂糖 30ｇ
キャベツ １枚
かつお菜（青梗菜・小松菜） 1/2束
ピーマン 2個
山芋 ３センチくらい
クリームチーズ（kiri） 1個（１８グラム）
片栗粉 大さじ2
カニ缶 1缶
砂糖 40g
ふきのとう 8個
塩、黒こしょう 各少々
バター 3０ｇ
玉ねぎ 1個
卵 3個
フレッシュバジルの葉 一掴み
焼き海苔(しけててもok) ２枚
●だし醬油 大さじ1
ブロッコリー 40g
大根 １００ｇ
青ネギ ２本
酒 大さじ1
ホタテ ５〜６個
三つ葉 1束
ハム 3枚
玉ねぎ 1/2個
大根 1／3本
★塩 小さじ１
黒こしょう お好みの量
木綿豆腐 半丁
人参 ５ｃｍ(下の方)のモノを半分(３０ｇ位)
レシピID :685038 のホワイトソース 1/4量位
れんこん 50g
卵 1個
玉葱 ２個
☆明太子 2腹（お好みで増減してね♪）
卵 中３個
生協発売「白和えの素」 １袋
■マヨネーズ 大さじ２（適量）
胡瓜 １／２本
しょうゆ 大2
さといも 5個程度
薄力粉 １００ｇ
☆長ネギ 1本
ボイルほたて １２０グラム（１０個）
豚薄切り肉 6枚
納豆 2パック
ホットケーキミックス １５０ｇ
ごぼう １本
豚細切れ肉 60ｇ
塩 小さじ2
鶏そぼろ 大さじ４
小麦粉、溶き卵、パン粉 適量
イカ 中１杯
★マヨネーズ 大さじ2
玉ねぎ 小１個
　☆三ツ矢サイダー 1カップ
ご飯 好きなだけ
にんじん １／２本
鶏がらスープ ２００ｃｃ
ゆで卵 １個
Ａ　長ネギ 1/2本
だしとった昆布 1枚
☆大豆 １５０ｇ
菜の花 ８つぼみ位
塩コショウ 少々
○万能ネギ 少し
ベーキングパウダー 小さじ３
（A）麹入り白味噌 1/4カップ
ピザ用チーズ 適量
リッチマッチャチョコレート（1箱40g） 60g
もやし 1袋
れんこん 小1個
ミツカン熟味酢 大さじ1
なめこ １袋（１００ｇ前後）
●しいたけ 2個
○赤ﾊﾟﾌﾟﾘｶ ２個
ちりめんじゃこ 1パック
ミルクチョコレート ７０ｇ
キウイ 1個
白菜 ５枚
砂糖 ６０g
お餅（どんなものでもOK） 3〜4個
えのき 小１パック
白ゴマ 適量
バター 15ｇ
もやし 半袋
ゴマ 小さじ１
しょうが １かけ
・ｱﾎﾞｶﾞﾄﾞ 1個
★すり胡麻 たっぷり（お好みで）
胡麻油   小匙1程度
レンコン 小さいのを半分
バター ６０ｇ
だし 1カップ
胡麻 適量
塩、こしょう 適量
絹ごし豆腐 半丁
卵 ２個
生クリーム ２００cc
白菜キムチ（カットしていないもの） 数枚
鶏胸肉 1/2枚
ネギ 2本
豆腐 200g
高野豆腐 ２個
ソース 大さじ2
豚肉 200ｇ
とろけるﾁｰｽﾞ 半分
塩・こしょう 少々
マーガリン 40g
切り干し大根 適量
とりひき肉 １００ｇ
かき 300ｇ
バター ２０ｇ
酒 大さじ1/2
ブロッコリー 小６房
水 3ℓくらい※（使うのは1.8リットルくらい）
Ａベーキングパウダー 小さじ2
マヨネーズ 小さじ１
新じゃが 小6個
ふきのとう 適量
キャベツ 2枚
きゅうり １本
醤油 大さじ３
玉ねぎ １個
生クリーム 2箱
みそ 大さじ３
玉ねぎ １個
じゃがいも ３個
玉ねぎ １／２個
レモン汁 大3/2
ちくわ　　（ベーコンでも） 一袋
たまねぎ １／４個
美味しい塩辛 適量
砂糖 大さじ１
♪牛乳 １００ｍｌ
ゆで卵 １個
長いも 350ｇ
砂糖 大さじ4
豚ロースしゃぶしゃぶ用 ３００ｇくらい
すりごま 小さじ１／２
コーンスターチ 大さじ１
美味しいめんたいこ 適量
からあげ粉 適量
白こんにゃく 220g(ミニサイズ一袋)
トマト １／２個
薄力粉 １２グラム
木綿豆腐 2/3丁
ご家庭の天ぷら衣 適量
玉ねぎ 1/2個
薄力粉 １３グラム
むきえび 200g
ジャガイモ 小さな新じゃが２個
セロリ １本
白菜 ４～５枚
玉子 1個
卵 １個
キャベツ ２、３枚
ワサビ 小さじ山盛り１
味ぽん 適量
★ごま油 大さじ1
ピーマン ２個
●バター 30g
にんじん ３センチ
大根 １０センチくらい
★うすくち醤油 大さじ1と1/2
●トマト 小1こ
干し梅 2、3個
合い挽きミンチ 300グラム
ショートパスタ(ファルファッレ) 食べたい分
レーズン 適量
おくら １袋
生姜 １かけ
にんじん 中1/2本
山芋 5センチ位
ピーマン １個
ネギ 二分の一本
砂糖 大１／２
ほうれん草 １束
大根千切り ３センチ
えのき １００ｇ
●長ネギ 1/2本
ココナッツミルク 400ml
塩 小匙１／２
いくら 適量
薄力粉 ２０ｇ
小麦粉 大さじ３
　強力粉 2　カップ　（200g）
バター 5〜10グラム
全粒粉 100グラム
トマト １個
卵 ２個
とろけるチーズ 一枚
7-11　納豆　(３個パック)　@78- 全量使用
小麦粉 適当
(またはささみ 200ｸﾞﾗﾑ)
野菜 モヤシ・ニラ・人参・玉ねぎなど
大根 １０㎝
薄力粉 ８０g
もやし 一袋
タマネギ １コ
砂糖 大さじ４～６
キャベツ 好きなだけ
馬路村ゆずジュース １００ｍｌ
しょうゆ 小さじ１
塩コショウ 適量
★卵 １コ
エリンギ ２本
しょうゆ 大さじ２
きゅうり 1/2本
えのき 1ﾊﾟｯｸ
まぐろ 150g
みじん切り葱 ２０グラム
人参 1本
レタス 大３枚
キャベツ ２～３枚
A玉ねぎ １/２個
ツナ缶 1/2缶
*ｵﾘ-ﾌﾞｵｲﾙ 大さじ2
桜でんぶ（鮭フレークでも） 適量
りんご 1個
☆長ネギの青いところ １本分
◯卵 2個
卵 1個
ジャガイモ 大2個
エビ 6尾
小麦粉 適量
しめじ お好みの量（＾－＾）
砂糖 ５０ｇ
長ネギ 半分
揚げ油 適宜
牛乳 ５０ｃｃ
バナナ 1本
干しぶどう 20グラム
卵 2個
とろけるチーズ 1枚
しょうが(チューブ） ２ｃｍ
小麦粉 １５０ｇ
★強力粉(or薄力粉orﾎｯﾄｹｰｷﾐｯｸｽ) 1/2カップくらい
ツナ １缶
合挽き肉 １２０ｇ
★ベーキングパウダー 小さじ１
◎砂糖 小匙１
ご飯（米） 食べたい分だけ
☆チューブ入りアンチョビペースト ２５～３０cm
りんご酢か黒酢 ５００ｃｃ
バジル ふたつまみ
水 １００ｇ
グラニュー糖 ７５ｇ
ごはん １人分
塩胡椒 少々
タマネギ ２個
ベーコン 一枚
砂糖 ５０ｇ
●おろし生姜 小１
ニラ 適量
豆腐 １／２丁
菜の花 一束
ピザソース 適量
塩コショウ 適量
大根 ７ｃｍ～
牛乳パック 1本分
新玉葱（スライス） １／３コぶん
きゅうり 1本
にんじん ５ｃｍくらい
グリーンピース 1/2ｶｯﾌﾟ
豚肉 300ｇ
桜の塩漬け 10（ご飯用5、飾り用5）
鶏挽き肉 150㌘
野菜ブイヨン(コンソメなど可) 250ml
しょうゆ 大さじ４
なめたけ 大匙３〜４
★米粉（目分量です） 100ｇ
菜の花 5～6本
ベーコン 3枚
豚肉こま切れ 100ｇ
牛乳 180cc
醤油 大２
ハム ４枚
好きな板チョコ 使う分だけ
バター 105g
牛乳 150cc
きゃべつ 葉1枚
白菜 ２７０グラム
ライ麦粉 ２０ｇ
木綿豆腐 50ｇ
★酒 大さじ1
●玉葱（みじん切り） 中１個
水 1250ml
ターサイ(円菜) 小さめ１株
牛乳 200ｃｃ
●にんにく 2片（お好みで）
玉ねぎ 1/2個
大根 １/２本
小麦粉 大さじ１
干し貝柱 １５ｇ
ハチミツ 大さじ２
長ネギ 1本
卵 ５個
☆塩・醤油 各小匙１強
トマト缶 1缶
ニラ 50〜80g程
●ピーマン １コ
ｼｰﾁｷﾝ 1缶
バター又はマーガリン 適量
クリームチーズ １００ｇ
パプリカ(黄) 半分
牛乳 100ｃｃ
○塩 小さじ１
●塩 適量
もやし １袋
牛肉薄切り 200g
●玉ねぎ １／２個（みじん切り）
グラニュー糖（半分をブラウンシュガーにしてもＯＫ） ５０ｇ
バナナ 中2本
●醤油 大さじ3
ミルクココア ７０グラム
バター 75ｇ
ひき肉 １００ｇくらい
豚バラ 100g
ハム ３枚
●チリパウダー 小1/3
ちんげん菜 １つ
菜の花 4本程度
お弁当カップ 一つ
合い挽き肉 100ｇ
お魚ソーセージ 2本
●かにかまぼこ １／２パック（細かく裂いておく）
☆生姜の皮、ねぎの青い部分 適量
●サワークリーム 60㌘
天ぷら粉 大2
食パン(8枚切) 1/2枚
 合わせて
貝割れ大根 1パック
米 カップ1/2
バター 大1
じゃがいも 2個位
牛乳 150cc
牛乳 150mL
ポン酢 好きなだけ
桃屋キムチの素 ８０g程度
水 大さじ２
●なす 中２本
小麦粉 適量
グラニュー糖 大さじ１
ツナ缶 1個
サラダ油(揚げる用) 適量
グラニュー糖 大さじ１
豚バラ肉スライス 100g
ドライおから 大さじ３
チーズ 適量
●薄力粉 50ｇ
コンビーフ 1/2缶
バニラエッセンス 4～5滴
ブロッコリー 2切れ
豚肉（薄切りロース） 6枚（１００ｇ）
豚細切れ肉 200～300ｇ
●牛乳 100ｇ
◇大根 ７cm幅
大葉 2枚
ほうれん草 2房
白ゴマ 大さじ1
乳不使用マーガリン ３０ｇ
新玉ねぎ １こ
乳不使用マーガリン ３０ｇ
★じゃが芋 4個
砂糖 小２
もやし ２００G
磯じまん 適量
魚肉ソーセージ １本
シーチキン缶（ツナ缶） 半分くらい～１缶
ごまドレッシング 大さじ３～４
ゆでだこ 200g
菜の花 パック1/2
豚バラ肉のミートソース煮込み ４０ｇ
※しょうゆ 大さじ１
○ベーコン ２枚
厚揚げ 220g
白ワイン 1/4カップ
苺 1個
●海苔佃煮 大さじ２
なめたけ １瓶
●薄力粉 ７０ｇ
冷凍コーン １００グラム
青じそドレッシングまたはポン酢 大さじ1
もやし 80
コーングリッツ 30g
栗の甘露煮 2個
豚挽き肉 200ｇ
玉ねぎ 大きいもの１個
薄力粉 70g
茹でたショートパスタ 100g
○キャベツ 大５枚
みりん 50cc
砂糖 大１
人参 1/3
ヨーグルト １/3カップ
魚肉ソーセージ ２本
パルメザンチーズ ２０ｇ
ピーマン 2個
黒糖 小さじ２
きざみのり 適量
●牛乳 １５０ｃｃ
○ターメリック 軽く4振り
シーチキン缶詰 小１缶
キャンディチーズ 2個
★はちみつ お好みで
ひき肉 ６０ｇ
鶏ひき肉 大さじ６
★醤油 大さじ３
ゼラチン １５ｇ(約大4)
卵 １個
乾燥ひじき 2g〜
えのき 適量
☆しょうゆ 大さじ３
きゅうり １本
●バニラエッセンス 数滴
ﾊﾑ 1枚
オートミール（小袋タイプ） 4パック
金串（フォークでもOK） 1本
ねぎ ２分の１本
ニンニク 一片
バター 60ｸﾞﾗﾑ
水菜 １束
米 2合
塩 少々
紅生姜 大さじ1
ヨーグルト 大さじ２
白菜 大1/2個（900g～1kg位）
温泉卵(ID :836033) 1コ
◎白だし（希釈タイプ） 大さじ１＜お芋用＞
☆水 1カップ
アスパラガス 1本
グラニュー糖 30ｇ
３倍濃縮タイプめんつゆ 大さじ４
新じゃが 小6個
薄揚げ １枚
にんじん ５ｃｍ
塩 少々
ネギ 1本
上新粉 ３０ｇ
卵 1個
酢 １/２カップ
カリフラワー 1/2株
エリンギ（スライス） １パック
ゆず胡椒 小さじ　１～２
☆水 1カップ
玉ねぎ １個～
ニンジン 大１本
じゃこ 小さじ３～４
☆酢 小１
無塩バター １００ｇ
バター １００グラム
すし酢 小２～大１
わかめ（戻したもの） お茶碗一杯程度
薄力粉 45g
バター ５０ｇ
冷凍グラタン ２つ
酒 適量
きゅうり 1本
醤油 適量
ごはん １００ｇ
鶏皮 1枚
もやし 1袋
ベーコン ４枚
納豆 50g
玉ねぎ 20ｇ
ねぎ 1本
水 3カップ
薄力粉 20ｇ
キャベツ 半個分
砂糖 芋の7％
いか　　（刺身用） 40ｇ
鳥の手羽中 15から20本
ご飯 茶碗４杯分
上白糖 １５グラム
じゃがいも 中２～３個
玉ねぎ 20ｇ程
薄力粉 70g
ごぼう 1/2本
砂糖 大２
砂糖 80ｇ
だし汁     200cc
ごま油 小さじ１／２
＠水 400cc
★冷凍豆腐 一丁
水菜 １束
☆納豆 １パック
里芋 １００ｇ
砂糖 大さじ2強
✿水 大さじ１
トマト缶 1缶
バニラエッセンス ５滴
塩（肉下味用） 小さじ2
たまご 1個
玉ねぎ 1/2
人参 1本
人参 小 １ 本
絹豆腐 １５０ｇ
ラ－ド（サラダ油でも可） 適量
○塩 少々
アスパラ １束
ごま 大さじ１
めんつゆ（3倍濃縮 大さじ1.5（お好みで
酢　しょう油 各大さじ２ずつ(１：１になるように大根に合わせて加減してください）
じゃがいも 2個
しょう油 小さじ２
れんこん 200～300ｇくらい
熱湯 適量
水 400㏄
砂糖 １０ｇ
☆酒 大1強
玉葱 1個
しょうゆ 大さじ1/2
卵 ２個
サラダ油 大さじ1/2
三温糖（砂糖） ２０ｇ
豚バラ肉 お好みで
ごぼう 少々
加熱用カキ ４００ｇ又は（１パック）
ショウガ 1片
レタス ４枚
粉ゼラチン ５ｇ（１袋）
顆粒ｺﾝｿﾒ 小匙1
じゃが芋 中７～８個
プロセスチーズ 20ｇ
卵 3~4個（好みで）
えのきだけ 1袋
★エバラすき焼きのたれ 大さじ2
餅粉 80ｇ
大根 ５ｃｍ分くらい（角切り）
ﾌﾞﾛｯｺﾘｰ 1/4株
たまご 1個
長ネギ ７cm
酒 大さじ2
ベーキングパウダー 小さじ１／２
ﾊﾞﾀｰ 50g
絹こし豆腐 50～100ｇ
☆人参 中２分の１本（１ｃｍ幅のいちょう切り）
スパム(ランチョンミートでもOK) 大きい缶のものなら半分。小さい缶のものなら１缶
マーガリン 40g
ベーコン ４枚
かつお節 適量
にんにく １片
だし汁 卵の2倍の量
ﾍﾟﾝﾈ 100〜150g
塩コショウ 少々
ベーコン（4〜5枚入り） １パック
ベーキングパウダー 小さじ1弱
アボカド １／２個
砂糖 2g
バター（マーガリンでもok）（無塩でも、有塩でもどちらでもok） ５０グラム
ハム ３枚
ほうれん草 2/3束
マヨネーズ 好きなだけ
砂糖（我が家はてんさい糖です） ８０グラム
水 ６７０ｍｌ
○大根(小さめ) １／３
☆牛乳 150cc
Lサイズ卵 2個
ひきわり納豆 1ﾊﾟｯｸ
たまねぎ １/４個
牛薄切り肉 ２００ｇ
・米 ２合
粉チーズ 少々
塩 小さじ1/2
海苔 適宜
水 1/2カップ
きゃべつ 5～7枚くらい
●酒 100～150ml
ちくわ ２本
ウインナー 1本
しょうが（千切り） 15ｇ
マーガリン 30ｇくらい
きゅうり 1/2本
かち栗 ２５～５０ｇ
バター（マーガリンでもok）（無塩でも有塩でも、どちらでもok） 50グラム
ポッカレモン 小さじ1/2
水 １２０～１３０ml
クリームチーズ 100グラム
キャベツ 半分
アーモンドパウダー 40g
豚肉 １００ｇ
小麦粉 適量
卵 １個
にんじん 大きめ1/2本
塩 3g
しば漬け ３５ｇ
たらこ 大さじ２
青菜ご飯 子供茶碗1/2杯分
からし醤油 適量
＊ポン酢 大３～４
乾燥ひじき 大さじ２
卵 1個
玉葱 1個半
小麦粉 適宜
バター 20ｇ
醤油 60ｃｃ
ミンチ（今回あいびき） ２００グラム
豚挽き肉 １５０～２００ｇ
ベーコン ３枚
ショートニング 10ｇ
鶏モモ肉 80g
玉ねぎ ２個
好みの野菜 適宜
★粉ゼラチン 1袋　5ｇ
塩コンブ 大さじ１～（適量）
ザラメ 200ｇ
　☆焼肉のたれ 大さじ３～４
昆布ポン酢 適量
薄力粉 90g
鶏肉 ５０～１００ｇ
練乳 大1
レモン果汁 大さじ３
にんじん ４０ｇ
小麦粉 １００グラム
玉ねぎ 1～２個
塩 適量
キムチ ６０ｇ
ごま油 大さじ２
鶏モモ肉 2枚
ゼライス（大さじ3の水でふやかす） 1袋（5g）
塩 小匙半分
ツナ 1缶
砂糖 大さじ 半分
生おから 80g
砂糖 250g～300g
水 魚の卵と同量
カレー粉 少々
マーマレードジャム 大3
新牛蒡 2本
☆シャケフレーク 小さじ1
卵 １個
酒(鶏肉漬け込み用) 大さじ１
鶏ムネ肉 １〜１.５枚
サラダ油 大さじ１
○牛乳 150ｃｃ
カニカマ ４本
☆イースト 小さじ1/2　（1.5ｇ）
ベビーリーフ １パック
＊しお 少々
長芋 10センチくらい
モヤシ 1/2袋
きのこそぼろ（ID:1048485） お好みで
黒砂糖粉末 50ｇ
･お酒 大3
ニンジン 1本
鶏挽肉 150g
油揚げ ５枚
ベーコン ２枚
にんにく 1～2片
たまご 2個
●たらこ 小さめ半腹
めんたいこ（ほぐしたもの） 大さじ１．５～２
バター(食塩不使用) 120g
鰹節 小袋1パック
キムチ 好きなだけ
ごま油 大さじ3
白菜（ｏｒキャベツ） ５００グラムぐらい
♪めんつゆ 大匙2
ナンプラー 大2
ごぼう 2/1本
オリーブオイル 大さじ　1
ウィンナー 3本
黒ゴマ ３粒
ササミ 2～3本
♪めんつゆ 大匙2
片栗粉 適量
　砂糖 １４０ｇ
プチトマト １・１／２個
ツナ缶 １／２缶
塩 適量
人参 半分
焼き海苔 少々
シイタケ 中3枚
ちくわ 一袋
薄力粉 ６０ｇ　　　　　（８０ｇ）
にんじん ５ｃｍくらい
油揚げ ２枚
ツナ缶 1缶
砂糖 60ｇ
セロリ 2把
牛乳 ２５０CC
水 300ｇ
ちくわ ２本
海苔 少々
酒 大さじ5
チェダースライスチーズ（ピカチュウ本体部分） 適量
砂糖 ４０ｇ
ドライパセリ 小さじ１
ひきわり納豆 3パック
蓮根 800g
ミックスベリー（冷凍） 50g
ベーキングパウダー 小匙2
カラメルソース 25ｇ
マヨネーズ 大さじ2
豆腐 30g
●▷玉ねぎのみじん切り １/４個分
大根(1㌢幅) 4～5枚くらい
ピーマン 1/2個
　A:塩・こしょう 少々
きなこ 適量
砂糖 60ｇ
里芋 700ｇ
バター（ｏｒマーガリン） ６０ｇ
砂糖 １５グラム
塩・コショウ 少々
グラニュー糖 90g
春菊 １/8把
油揚げ 1枚
強力粉 200ｇ
片栗粉 適量
にんじん ３分の１本
さつまいも 150ｇ（ほうれん草に対して半分）
豆腐 １/２丁
△昆布 ２～３枚
きゃべつ ２枚
ひき肉 180g
にんにく １～２片
おから ８０ｇ
小麦粉 １５０ｇ
しょうが・にんにく（すりおろし） 各１かけ
こんにゃく 半分
塩（板ずり用） 適量
ミロorココア 適量
◎めんつゆ 大さじ２
こんにゃく 約３００ｇ
塩昆布 好きなだけ
＊りんご 2個
挽肉（豚を使いました） 100g
酢 大さじ１
板のプロセスチーズ 2枚
バター 適量
お湯 ８０ml
たまねぎ（みじん切り） １個
あまりもの野菜 今回はいりこ
熱湯 卵全体がかぶるくらい
ごま油 適量
揚げ油 適量
豆乳 90ｇ
玉ねぎ １／４個
玉子 1個
・ツナ缶 １缶
生クリーム 30g
人参 2本
カマンベール 6ピース切りの内の2ピース
アボカド 2/1
マーガリン 60ｇ
長ネギ １本
卵 １個
★醤油 大2
マヨネーズ 大さじ２
塩 小さじ1
チーズ（とろけるチーズ） 適宜
タマネギ ２分の１個
日本酒 ２００ｃｃ
●砂糖 大さじ1
マヨネーズ 大さじ１～２
豚薄切り肉 ２００ｇ
板ゼラチン 5g
★ﾍﾞｰｷﾝｸﾞﾊﾟｳﾀﾞｰ 小1/3
ひき割り納豆 100ｇ
レシピID1065697　煮豚 ５～６枚
お好きなスープ たまごがひたひたになるくらい
人参 ５センチ
すいとん粉 100グラム
鶏ひき肉 １００ｇ
水（具材他を入れる前に入れる） 規定通り
なめたけ 適量
●ごま油 大さじ１
しょうが 適量(お好みで)
塩 小さじ2
スライスチーズ １枚
クリームチーズ（個包装） 2個（1個18ｇ）
お好きな具 適量
ちくわ 2本
バター １０g
きび砂糖+黒糖 しょうがの半量
マヨネーズ 適量
水 1ｶｯﾌﾟ+1ｶｯﾌﾟ+α
マヨネーズ 大さじ１
豆乳 150ml
卵白 2個分
砂糖 小さじ２
★卵 一個
豚ひき肉 １００グラム
ミツカン熟味酢 大さじ２
はちみつ 40g
しょうが 1かけ
ベーキングパウダー 小さじ１／２
ひき肉 300ｇ前後
片栗粉 お好み
小松菜 1/2〜1/3袋　
☆ベーキングパウダー 小匙1/3
なめたけ お好みで♪
大根 20ｃｍくらい
砂糖 ６０ｇ
塩こんぶ ２０～３０ｇ
ベーコン、ウィンナーなど お好みで
砂糖 30ｇ
○天かす 大匙山盛り２
醤油 大さじ２
ごま油 大さじ１
長ネギ １本
バター 適量
卵 2個
☆しょうゆ 大さじ1
蓮根(張りつけ用) 2mmスライス×8枚
　もち米 0.5合
鶏ひき肉 １００ｇ
しょうゆ 小さじ2
だし汁 300ml
ステーキ肉 ８０ｇ
牛乳 150ml
市販の餃子 ２個
昆布 ５×５ｃｍ位
ゴマ油 小さじ１
ねぎ お好きなだけ
ひきわり納豆 ３パック
たまねぎ １個
バター・・・大さじ１ にんにく・・・ひとかけら
★塩コショウ 少々
○ハム 1枚
なす 半分くらい
ツナ缶 １缶
○甘酢生姜(ガリ) ２つまみ
┗ゆかり 好きなだけ
マッシュルーム 1袋(固形量50g)
塩（パスタを湯でるお湯用） お湯の1％
牛乳 １００ml
砂糖 40ｇ
豚バラ肉 ２００グラム
おろししょうが 少々
ベーコン ２枚
ベビーチーズ １個
薄力粉 ３０ｇ
鶏ひき肉 １２０ｇ
塩、コショー 適量
きゅうり 一本
かぼちゃ 1/8個
レタス ４分の１
絹豆腐 一丁の約５分の１
塩辛 小さじ２
※にんにく ３片
メンタイ １５０グラム
●おろし生姜（チューブ可） １片（チューブ３cmぐらい）
キャベツ １／８個
ブラックペッパー 適量
切干大根 １掴み
砂糖 ２３ｇ
ﾏﾖﾈｰｽﾞ 好きなだけ
玉葱 1/4個
砂糖 大さじ2
人参 1/2本
グレープフルーツ 1個
バター １５０ｇ
キムチ 200ｇ
かぼちゃ 50グラムくらい
おこわにする場合は半分もち米に （1カップずつに分ける）
ブロックベーコン １／２ブロック
しょうゆ 大さじ２
しょうが ひとかけ
人参 １本
玉ねぎ 1個
ホワイトアスパラ ６本
★しょうゆ 2０ｃ
豚ひき肉 150g～200g
塩・胡椒 少々
ピーマン 2個
ピーマン ２個
バター 大さじ1強
塩・こしょう 少々
全粒粉 大匙２杯
米粉(なければ薄力粉でも可) ３０ｇ
バター(グラハムクラッカーの場合は有塩) 25g
しらす 25ｇ
お酒 100cc
クレイジーソルト 適量
菜の花 １００ｇ
クリームチーズ（バターでも可） お好み
ベーコン 2枚くらい
アルミホイル 魚が乗るくらい
クリームチーズ 大さじ２くらい
塩 小さじ１
豚ひき肉 ２００グラム
ご飯 お茶碗1杯　１４０グラム位
明太子 ２腹
にんじん 1／2本
タマネギ 2センチくらい
アボガド １個
塩 小さじ1/8
ひき肉（合挽き肉） 150g
鶏ひき肉 150ｇ
玉子 ４個
鶏がらスープ 4カップ
コショウ たっぷり
レタス 外葉３枚ぐらい
★じゃがいも ２個
生姜 １５ｇ
鶏そぼろ（レシピID1064579) 大さじ２
グラニュー糖 50ｇ
ブロッコリー ５個
粉チーズ 50ｇ
○ゆで小豆 大匙２
いかなごのくぎ煮 大1
薄力粉 50g
めかぶ ２パック
