■水 500ml
刻みねぎ 適量
ナツメグ（あれば） 小さじ1/4
濃い口醤油 ５ｃｃ
ﾊﾞﾆﾗｴｯｾﾝｽ （お好みで）少々
生クリーム 200ml
牛乳 ６０ｃｃ
クレイジーソルト 適量
★ブラウンシュガー又は黒砂糖 ３８ｇ
■昆布だし＜顆粒＞or昆布茶 小さじ１弱
◆水 ４０ｍｌ
お湯 大１
酢 大さじ2～
酒 ３０ｍｌ
片栗粉 少々
塩 ひとつまみ
えのき １００ｇ
すり白ごま 適量
ほんだし 小さじ1
サラダ油 大さじ1
チョコ 入れたいだけ
☆中華だし 大匙１
ニンニク 1かけ
●卵（ＭＳサイズ） １個
粉チーズ 大さじ3
砂糖 大さじ４～５
レモン お好みで
白ワイン　　　　　● 大匙２
砂糖 25g
玉ねぎ 2個
白ワイン ３００cc
まいたけ 1ｶﾌﾞ？
酒 大さじ１
サラダ油 少々
☆カレールウorパウダー １粒or小さじ１
ゴマ塩 お好みで
ご飯 丼２杯分
Ａ　ラム酒（お好みのお酒）orバニラオイル 少々
温泉卵 １個
コーンスターチ １５グラム
小麦粉 小さじ２杯
乾燥バジル（または乾燥パセリ） お好みで
水 １ｃｕｐ
・卵 ２個
塩こしょう 少々
お好きなドレッシング（ここではゆずぽんドレッシング） 適量
パセリみじん切り 少々
水 適量
唐辛子 1本
アプリコットジャム 適量
砂糖 大さじ１．５
砂糖 大匙１/２
みかんジャム 大さじ１と１/２
固形コンソメ ４個
○水 ５カップ
イタリアンドレッシング 適量
インスタントコーヒー 大匙１杯
中華だし 小2
砂糖 50グラム
マカロニ 100g
くるみ 80g
プチトマト 好みで
☆しょうゆ 大さじ1
えのき 手のひらに乗るくらい
○味噌 大６
パプリカパウダー、ガラムマサラ、クミンなど お好きな香辛料　あわせて小さじ１くらい
とうばんじゃん こさじ2
アーモンドパウダー 60グラム
コンソメ（顆粒） 小さじ１．５
◆塩 小1/4
塩 適量
黒ゴマ お好みで
油 適量
ガラスープの素 大さじ３
●醤油 大さじ３
　　海老 ６匹
●みりん 大さじ1
オリーブオイル 大さじ1
塩 ７ｇ
飾り用グラニュー糖 適量
塩、胡椒 適量
卵黄(つやだし用) 1/4個
塩 ひとつまみ
しょうが（針しょうが） 少々
油 適量
醤油 大さじ１
片栗粉 少々
A牡蠣油 小2
＊味噌 大さじ1～2
カレー粉 大さじ１
セロリ ５ｃｍ
太ネギ白い所15cm程 半分に割って小口切りに
ココナッツ（お好みで） 適量
青海苔 好きなだけ
マヨネーズ 大さじ４
豆乳or牛乳 200cc
クーベルチュールチョコレート（黒） 40ｇ
砂糖 大さじ1
白ワイン 大さじ2杯
☆ウスターソース 小さじ1/2
香菜（なくてもいいです） 適量
粗挽き黒こしょう たっぷり♪
砂糖 大さじ１・１／２
食パン ６枚切りなら２枚
バター 少々
中華だし（顆粒） 小さじ2
砂糖 ひとつまみ
こんにゃく １枚
バルサミコ酢 大さじ1.5
バター 10g
卵 １個
☆ベーキングパウダー 小さじ１／２強
酒 大さじ2
赤ワイン 100ｃｃ
水 600cc
しょうゆ 小さじ1
レモン汁 大さじ２
アスパラガス １本
砂糖 小さじ1
（あれば）かつおぶし 好きなだけ
こしょう 少々
オイスターソース 小匙2
☆塩 少々
ベーキングパウダー 小さじ1/4
出汁 1カップ
マヨネーズ 大さじ４
チョコレート ６０ｇ
鳥がらスープ顆粒 5ｇ
マヨネーズ お好みで
マーガリン 25ｇ
プレーンヨーグルト（水切り不要） 100g
にんにくチューブ ２cm
白ワイン 適量
★小麦粉 大さじ１
サラダ油 40cc
ドライフルーツ（ラム酒に漬けておいたもの、刻んでおく） 180g
サラダ油 ３５ｇ
マーガリン 20ｇ
薄力粉 適量
油揚げ 1/2枚
ドライイースト 3g
☆マヨネーズ 大2
お好みソース 適量
☆酢 大1
グラニュー糖 適量
ねぎ 少々
☆砂糖 小さじ1
★溶かしバター ７０ｇ
ハム ４枚
ゴマ油 少々
♪水 大さじ1
ごま油 大さじ１～１．５
ねぎの青いところ １本分
レーズン ３０ｇくらい
砂糖 大さじ１
和風だし 小さじ１
塩・胡椒 適宜
●マヨネーズ お好みで
マーガリン 適当
ゴボウ 5cm
片栗粉 適量
醤油 大さじ2
レモン汁 小さじ２
●醤油 小さじ２
バター ５０ｇ
☆醤油 大さじ1
☆塩 適宜
西洋わさび（あれば） 少々
・酢 小さじ1
醤油 大さじ２
・ウエイパー 大さじ1
パセリ（あれば） 適量
胡椒 ０．５グラム
カレーパウダー 大さじ1※お好みで加減
花かつお、きざみ海苔 各、適量
にんにくチューブ ２㎝
☆塩 小さじ１/3
鶏がらスープの素 小さじ２
└水 ４００ｃｃ
★酢 小さじ1
カロリー 約440kcal
ごま油 適量
いちごソース 40g
牛乳 500ｃｃ
醤油 大さじ2
塩麹さん（レシピID :637783） 大さじ１～1.5
水 200cc
味醂 大さじ１
◆かまぼこ 1/2本
しょう油 １回し
★酒 大さじ1
オリーブオイル 小さじ1
マヨネーズ 大さじ４
ソーセージ １袋
＊桜でんぶ 適量
片栗粉 大さじ3
醤油 大さじ１
塩 少々
塩 適量
■ 型に塗る用の油 適量
●マヨネーズ 大２
ホールトマト缶 １缶
牛乳 ３０ｇ
＊ウインナー ３本
卵(卵黄.温泉卵など) 1個
バニラエッセンス 適量
★レモン汁 大匙1杯
きな粉 小匙１
★レモン汁 小匙1杯
塩胡椒 少々
Ｂ：ソース（お好きなソース：とんかつや中濃など） 大さじ４～５
★ラー油（お好みで） 少々
水 材料全てを入れて目盛りに合わせる
★にんにくすりおろし ２片分
チーズ 適量
酒 大2
鷹の爪 １/２～１本
☆みりん 大さじ3
ダシ汁（カツオ） 2カップ
砂糖 小さじ1
蒲焼きのタレ 少々
サラダ油 大さじ1
酒 大さじ１
パン粉 適宜
片栗粉 大匙1~2
◆水 200ml
★オイスターソース 小１
トマトペースト 大さじ1
＊砂糖 大さじ3
お醤油 適量
お水 適量
●しょうゆ 大さじ１くらい
塩 少々
★しょうゆ 小さじ　1
●しょうが １かけ
塩 少々
●酢 大さじ2
砂糖 ３０ｇ
☆ベーコン 3枚
岩塩 甘みが足りないと感じたら入れます
きのこ（しめじ、えのき、しいたけなど） 各1/2~1パック
醤油 大さじ３
水溶き片栗粉 大さじ１+水大さじ１
胡椒 適量
粉砂糖 適宜
塩胡椒 少々
赤唐辛子 １本
無塩バター ２５ｇ
生姜 ２０ｇ 
揚げ用油 適宜
★酒 小２
コンデンスミルク 大さじ1
●砂糖 大さじ１
牛乳 50ｃｃ
＊オイスターソース 大さじ１
サラダ油 小さじ12
サラダ油 （適量）
･お醤油 50ｃｃ位
揚げ油 適量
ブイヨン １個
かつおぶし 適宜
ココナッツミルク 大さじ1
（ソース）玉ねぎ 1/4個
☆塩 ひとつまみ
カレールゥ（好きな銘柄） ４かけ～６かけ
粉砂糖（飾り） こさじ１
チーズ お好みの量
玉ねぎ １/２個
醤油 大２
◆牛乳または豆乳 大さじ１
温泉たまご（お好みで） １個
ネギ 適量
シナモン 小さじ1/2
こしょう 少々
揚げ油 適量
バター 30㌘
＊オイスターソース（あれば） 少々
★卵（Ｓ） 1個
とろけるﾁｰｽﾞ 1枚
塩・こしょう 適量
粉ﾁｰｽﾞ 適量
☆お好みで砂糖・レモン汁・黒胡椒 適宜
キルシュ 小匙1
ｵﾘｰﾌﾞｵｲﾙ 大2
☆しょう油 小さじ１
　きび砂糖 ４０ｇ
レモン 1/4個
すし酢 適量
★粉砂糖 5g
★お酢 大4
クレソン（お好みで） 1束
サラダ油 大さじ1
レモン汁 少々
ブロッコリー 1/4個
ごま油（焼く時用） 適量
コショウ 少々
にんじん 1本
きのこ類（えのきだけ・しめじ・まいたけ） 50ｇずつ
しょうゆ 小さじ1
ココア 大２
★砂糖 大さじ2～3
薄力粉 ６０ｇ
◎豆板醤 小さじ1
一味 お好みで　　
しめじ(小房に) １パック
卵 １つ
バニラエッセンス･ラム酒 適宜
しょうゆ 大匙１
小麦粉 適宜
▽バター ７０ｇ
塩 少々
●コンソメ顆粒 大さじ１
★水 約160ml
水 10cc
薄力粉 100g
醤油 ほんの少し
トマト １個
白ワイン 100cc
●蜂蜜 大さじ1
◎玉ねぎ微塵切り 大さじ1弱
こしょう 少々
豆腐 1/2丁
★料理酒 大さじ2
あればレモンエッセンス 少々
お酢 適量
☆砂糖 ２０ｇ
しお胡椒 適量
小豆の甘納豆や餡 好みで適量
塩 適宜
水 めんつゆの表示分
ｹﾁｬｯﾌﾟ 大４
＊コンソメ １個
手羽 適量
こしょう 適量
☆黒酢(なければ穀物酢） 大さじ１
しいたけ 4枚
塩コショウ 少々
☆ハインツデミグラスソース缶 １缶
ラム酒 15g
ウインナー 適量
グラニュー糖（デコレーション用） 大さじ２ぐらい
塩 少々
エビ 2匹
みりん 小さじ1
にんにく 1片
水 ５０ｍｌ
B　オイスタソース 大匙１
☆バナナ 大１本　１８０ｇ
片栗粉 小さじ２
さとう 小1/2
千切りキャベツ 適量
※ドライイースト ３ｇ強
☆酒 大さじ１
B　塩 小匙１
ケチャップ 大さじ2
玉ねぎ 小１個　（１４０ｇ位）
カシューナッツ ５０ｇ
バジル（乾燥でもフレッシュでも） 少々
トウバンジャン 小さじ１弱
パン粉 お好みで
練りウニ 大さじ１
しょう油 小さじ1/4
･塩 小１/３
ﾆﾝﾆｸﾁｭｰﾌﾞ 1､5ｾﾝﾁくらい
レモン汁 大さじ１
ポッカレモン 大さじ1
生姜のスライス １かけ
※黒ごま 大さじ３
塩コショウ 適量
☆酢 大匙１
キャベツ ５枚
ハム 4枚
･えび ３匹
塩　コショウ 少々
★片栗粉 大さじ２
★砂糖 大さじ１／２
クリームチーズ 適量
★砂糖 小さじ１
プレーンヨーグルト 大１
お酢 小さじ２杯
すりごま（黒） 適量
卵 1個
ごま油 小さじ1/2
白胡麻 適量
水 1/2カップ
青海苔 少し
･醤油 大３
塩 小さじ１
（ A ) 砂糖 小さじ2
☆砂糖 大さじ３から４
●乾燥バジル 適量
･薄力粉 適量
（あれば：ベーコン） 2枚
バニラエッセンス 2～3滴
・ごま 適宜
●しょう油 小さじ１
にんにく ひとかけ
★ゴマ油 小さじ１
レモン果汁 少々
ごま油 小さじ１
◇塩・砂糖 小さじ１／２
ナツメグ 少々
ブラックペッパー 適量
青海苔 飾り用
■にんにく・しょうがすりおろし 各小さじ２／１
醤油 50ｃｃ
オリーブオイル 大さじ1
チキンブイヨン（固形） １個
豚バラ肉（６等分） ３枚
卵 ２個
油 大さじ１
コチュジャン 大匙１
牛乳（なくてもＯＫ） （様子を見ながらお好みで）
★ブラックペッパー 少々
砂糖 大さじ1
小麦粉 １２０ｇ
ナツメグ 少々
水 100～150ｃｃ
揚げ油 適量
ニンニクのすりおろし １/２片分くらい
卵 1個
ローリエ ２枚
◎塩 小さじ1/2〜
☆七味唐辛子 少々
砂糖 少々
オリーブオイル 大3
あんこ お好みで
粉末だし 小さじ２
☆粉末コンソメ 小さじ1/2
天ぷら粉（市販） 100ｇ
パセリのみじん切り（ドライでも生でもOK） 適量
ゴマ油 大さじ１
生クリーム 150ml
塩胡椒 少々
揚げ油 適宜
ローストガーリック 少々
酒 大さじ1
片栗粉 大さじ2/3
★チョコ味のアイス 1パック（100g程度）
梅干 ３～４個
 ✻ 醤油 大さじ１／２
水 適量
トマトホール缶 １缶
　クルトン（食パン） 適量
白ワイン 20cc
　★砂糖 小さじ1/3
きざみのり 適量
ピーナッツ/アーモンド/お好きなナッツ 大さじ1
長ネギ １/２本
しょうが 1かけ
卵(つや出し) 少々
サラダ油 大さじ１
たまねぎ １／２個
　はちみつ 大さじ0.5
ブルガリアヨーグルト 大さじ4
塩 適宜
にんにく １かけ
オリーブオイル 大匙１
塩こしょう 適量
ベーキングパウダー 小さじ１／４～１／３
にんにくのすりおろし 少々
醤油 小さじ1
揚げ油 適量
チョコレート 70-100ｇ(お好みで)
もやし 1/2袋
♪酒 大１
みりん 50ｃｃ（お好みで）
日本酒（料理酒） 大匙２
みりん 小さじ１ １/２
お好みで☆オリーブやケッパー 適量
醤油 適量（味を調える程度）
★めんつゆ（２倍濃縮） ５０ｃｃ
砂糖 大さじ１
しょうゆ 大さじ4
卵(つやだし用) 1個
みりん 小さじ２分の１
マヨネーズ 大さじ1～２
溶き卵 １個
砂糖 大さじ１
玉ねぎﾄﾞﾚｯｼﾝｸﾞID1048330Or中華ﾄﾞﾚｯｼﾝｸﾞ 適量
（あれば）つぶコーン 適量
●コンソメの素 1個
砂糖 小１
△小麦粉 大匙１
ゆかり 小さじ１／２
（好みのドレッシングでもＯＫ） （適量）
牛乳 750cc
酒 小さじ2
梅干し 2個
かつお節 １パック
醤油 大匙2.5
水 50ｃｃ程度
バニラオイルまたはエッセンス 少々
パセリ 少々
★しょう油 大さじ４杯
岩塩 ひとつまみ
☆酢 適量
豆板醤 小さじ２分の１
赤パプリカ ４０ｇ
小口ネギ お好みで
　砂糖 大さじ1/2
パン粉 好きなだけ
牛乳 大さじ2
パプリカ 1/4コ
こしょう 適宜
塩、胡椒 適宜
ガーリックパウダー 適量
固形コンソメ １／２個（細かく砕く）
ドライ苺 ４０ｇ
ニンニク（微塵切り） 小２
☆パセリ☆ お好みで
☆にんにくすりおろし １/２かけ分
お好みのトマトソース 適量
サラダ油 適宜
天然塩 こさじ1／2
塩 少々
かつおぶし ひとつかみ
レモンの皮すりおろし １個分
●にんにく(すりおろし) 一片分
かつをぶし ひとつまみ
●砂糖 小さじ1
ピーマン 8～10個
◎　しょうゆ 小さじ　１
青海苔 適量
砂糖 ３０グラム
a.醤油 小さじ1
ごま油 適宜
にんじん 1本
◎顆粒だしの素 少々
豆板醤 こさじ１
筍の水煮 5センチ
白ゴマ 大さじ１
醤油 適量(お好みで)
ごま油 小さじ１
☆みりん ２５cc
ドライイースト 小さじ11/4g（3.5g）
油 大1
水 50～100cc
バニラエッセンス　(なくてもOK) 2.3滴
おろし生姜 1片分
水 適量
小ねぎ 少々
☆ミツカン熟味酢 大さじ１
ごま油 少々
チョコチップ 1･1/4カップ
●砂糖 小さじ1
醤油 小１
片栗粉 大さじ１
☆水 １００ｍｌ
A　バター １０グラム
B　ソース、卸し生姜、カレー粉 各大1
とろけるチーズ １枚
●塩 少々
水 150cc
サルタナレーズン ２０ｇ
しょうゆ 小さじ１
●水 200ml
塩･胡椒 少々
粗引き胡椒 少々
オリーブオイル 大さじ１・仕上げに大さじ１
○　醤油 大1
バニラエッセンス 少々
水 大３ほど
･味噌 小１
マヨネーズ 大3
＊ごま油 適量
マヨネーズ(接着用) 少々
･水 120cc
おろししょうが♪ 小さじ1/3
マヨネーズ 適量
　こしょう 3～4振り（少なめに出るこしょうで）
サラダ油 適量
◆ﾄｯﾋﾟﾝｸﾞ◆ 刻み海苔 適量
♪しょうゆ 大さじ1と1/2
グリコちょい食べカレー<中辛> 1袋
オリーブオイル（焼くときの分） 大さじ1
☆しょうゆ 大さじ1.5強
･醤油 大１
ロースハム ２、３枚
ウインナー １袋
八角 1かけ
ごま油 小さじ1
Ａ　明治ブルガリアヨーグルト １００ｍｌ
砂糖 少々（隠し味程度）
卵 1個
★スィートチリソース 大さじ3
塩 しょうしょう
◎辛子 チューブから２ｃｍｍくらい
コショウ 少々
塩コショー 適量
☆みりん 大さじ２
人参 ３０ｇ
白だし 大さじ１
◎明治ブルガリアヨーグルトプレーン 大さじ３
バニラエッセンス 少々
卵白 1個分
パン粉 大さじ1
鰹節 2袋（6ｇ）
☆片栗粉 大１を大2の水で溶く
砂糖、醤油 各大さじ２
濃縮白だし 大さじ２
和風だしの素 小さじ１／４
ドライイースト ３g
★砂糖 小さじ２
塩・こしょう 少々
ゴマ 適量
粉チーズ 山盛り大さじ１
◎醤油 大4
おろしにんにく 少々
水 570cc
しめじ １袋
バニラエッセンス 適量
全卵 ２個
青ねぎ ３本
醤油 大さじ３
△酒 大さじ１
☆醤油 小さじ１
　■バター 大さじ2強
※こしょう 適量
･お水 600cc
★塩胡椒 少々
☆パン粉 1/2カップ
塩 少々
みりん、酒 各大さじ１
こしょう 少々
●酒 大さじ1
ごま油 適量
オイスターソース 小さじ１
無塩バターorマーガリン 80g
＊市販の高菜の醤油漬 100ｇ
サラダ油 大さじ１
○ゆで卵 1個
オリーブオイル 大匙3～４
○醤油 大２
卵 全卵１個
片栗粉 大さじ２～３杯
メイプルシロップ 大さじ１
★レモン汁 大さじ４
塩 小さじ1
★砂糖 小さじ1
●オリーブ油 小さじ1
小口ねぎ お好みで
酢 大さじ２
にんにく 1片
☆こしょう 少々
塩、コショウ 少々
☆薄口しょう油 小さじ１
●牛乳 400ｍｌ
豚小間 100ｇ
ゴマ 適量
しょうゆ 大さじ１
片栗粉 小さじ２
酒 小さじ１
しょうが １切れ
★鷹の爪 1本
●マヨネーズ 大さじ３
◎水 ８０ｃｃ（味見により変えてください）
片栗粉 大さじ１
だし汁 100cc
★レモン汁 小1
塩 ひとつまみ
ごま油 大さじ１
塩 少々
ピザ用チーズ 適量
コンソメキューブ ２個
牛乳 ２５０ｍｌ
ニラ 2/1束
にんにく 2片
粉砂糖 適量
○ごま油 大さじ1.5
牛乳 ５００ｍｌ
鶏もも肉 1パック（今回は、切れてるもので５７３g）
胡椒 適宜
キャベツorレタス 葉っぱ４〜５枚
こしょう 少々
※チーズ（何でもOK） お好みで★
シュウマイの皮 １袋（３０枚）
みりん 大さじ２
●塩 小さじ１／２くらい
バニラエッセンス 数滴
※干ししいたけ ５，６枚
塩・こしょう 適量
ごま油    適量
本だし 小さじ１/２
塩コショウ(今回はクレソル) 小さじ1/4位?好みで
海苔 ２枚
塩・コショウ 適量
酒 小さじ１
とんかつソース 大さじ1　1/2
コンソメ キューブ1個（粒状小さじ2杯）
醤油 大匙１
醤油 適量
塩・胡椒 適宜
★砂糖 大さじ1と1/2
チョコチップ 100gぐらいを目安にお好みの量で
醤油 適量
酒 小さじ2
○こしょう 多め
　サラダ油 大さじ1
♥味の素 ４～５振り
トマト 大1個
☆みりん 大2
ウェイパー 小さじ2
ごま油 適量
●長芋（すりおろし） 中半分
カットイカ 10g（2個）
●砂糖 大さじ１.５
★レーズン（お好みで） 30ｇ
生姜 小さじ1/2
ほんだし 山盛り小さじ1
大根おろし 適量
牛乳 １カップ（２１０g）
バター 少量
ローリエ 1枚
水 適量
うすあげ １枚
★淡口しょう油 大３
牛乳 100ｃｃ
サラダ油 大さじ1
★ブルガリアヨーグルト ５０ｃｃ
ホワイトチョコレート ６０ｇ
砂糖 小さじ１
カマンベールチーズ ４カット
大葉 適宜
☆Ｂ・Ｐ 小さじ１
すりゴマ 適量
こしょう 少々
★塩 小さじ1/2
インスタントコーヒー 10g
パセリ 適量
◆プチトマト 4個
ブラックペッパー 少々
こしょう 少々
うなぎのタレ（これもなくてもＯＫ） ちょっとかけるだけ♪
★ケチャップ 大さじ1
★みりん 大さじ１
●お酢 小さじ1
酒 大さじ 1/2
ウスターソース 小さじ１
･みりん 大２
★顆粒の和風だし 小１／２
はちみつ 大さじ　1
★和からし １センチ
◆水 ８００ｃｃ
もちとり粉（片栗粉　可） 適宜
かつおぶし 適量
●砂糖 大さじ１
生姜 １カケ
●みりん 大さじ１
玉ねぎ １/２個
ちょい食べカレー（今回は中辛使用） １袋
❤揚げ油 適宜
・塩コショウ 3振りくらい
くるみ 適量
塩コショウ 少々
★水 大さじ2
塩・こしょう 少々
○マヨネーズ 大さじ４～５
チーズ 適量
片栗粉 大さじ３
しいたけ 2枚
ラー油 小さじ1弱（お好みで）
・マヨネーズ 大さじ5～6
BP 少々
味噌 大さじ２
ルッコラ ひとつかみ
タイム …小1
白ゴマ 大さじ1
●塩 小さじ1／2
◎醤油 大さじ3と1／2
◎醤油 大さじ1
とろけるチーズ 2枚
水 大さじ２
牛乳 3カップ
塩 少々
塩 小さじ１
刻みネギ、炒りゴマ お好みで
●みりん　　　 大さじ2
ウェイパァー（鶏ｶﾞﾗｽｰﾌﾟの素顆粒でもＯＫ） 小さじ１
鶏がらスープの素（顆粒） 小さじ１
さくらえび お好みで
ベーグルパン 5～6個
●コンソメ １/２キューブ
コーヒーフレッシュ（コーティング用） 2個（3mlのやつ）
ジェノバーゼ 適量
✿水 小さじ2
ピザソース 大さじ６
はちみつ 大さじ４
塩・こしょう 少々
納豆 たっぷり
バター １０ｇ
サラダ油 少量
ラム酒 適宜
パン粉 大さじ３
砂糖 大さじ2
塩コショウ 少々
ウスターソース 大さじ１/２
★酒（鶏の下味） 大１
みりん 大さじ1・1/2
（☆酒） 小１ 
ごま油 大さじ１
粒コショウ おこのみで
●顆粒だし 小さじ1
昆布茶 小さじ1
長茄子（他の茄子でもＯＫ） 2本
◎醤油 小さじ2
醤油 ５０ｃｃ
☆マヨネーズ 大さじ2
酒 大2
バニラエッセンス 適量
◎しょうゆ 大さじ１
塩コショウ 適宜
クルミ 50ｇくらい(お好みで）
水 カップ８
水 200cc〜
●ごま油 小さじ２
◇プレーンヨーグルト ２００ｃｃ
小麦粉 50～60ｇ
しそ 6枚
★しょうゆ 小１
☆水 ４００ml
塩 小さじ1/2
海苔 少量
だし汁 100cc
ヨーグルト 大さじ４
アスパラガス 適当な量
パンに塗るバターやマスタード辛子など 少量
紅ショウガ、鰹など 適量
パセリ（乾燥でもフレッシュでも） 少々
パスタ １６０～２００g
生姜のしぼり汁 大１
●しょうが・にんにく　（おろし） 少々
コンソメキューブ 1コ
苺 適量
塩 適量
生姜 適量
酒 大さじ２
★中華だしの素 小さじ１
ごま油 小さじ1
ぜんまい水煮 ４０ｇ
砂糖 大匙1
ケチャップ 好きなだけ
酒 大さじ1
●しょうゆ 大さじ１
●しょうゆ 大さじ１
●水 150ｍｌ
みりん 大さじ半分
味噌 適量
＊　ナツメグ 少々
●砂糖 小さじ2
苺 200g
ソース 大さじ４
●生クリーム 100cc
卵 75g（約1.5個）
　トマト缶(カットトマトの) １缶
★酒 大1
塩、こしょう（お好みで） 少々
生姜・にんにく（すりおろし） 各小さじ1
あんずジャム（ママレードやゆずジャムでもOK) 大さじ１
塩コショウ 少々
鶏ガラの素 大１
マスタード・玉葱みじんぎり 各大さじ1
酒 大さじ１
生クリーム 50ｃｃ
★みりん 大さじ2
白ゴマ 小1
★シナモンパウダー 小さじ1/3
大豆水煮 １００ｇ～２００ｇ
炒め油 大１
塩コショウ 適量
抹茶（お好みであれば） 小さじ1
市販のデミグラスソース(なくてもok) 適量
卵 1/2
はちみつ １０g
卵 1個
大葉 少量、お内裏様の持ち物
揚げ油 適量
天かす 適量
ゴマ油 適量
◎めんつゆ 大さじ3
大根の葉 適量
○塩コショウ 少々
砂糖 大さじ５
ナス １本
砂糖 小さじ１
卵 2個
薄力粉 適量
イースト 3g
バター（マーガリンでも） 30g
牛乳 100ｃｃ
★中濃ソース 小さじ２
顆粒和風だし 小さじ1
◎ごま油 大さじ1
ウェイパー 小さじ１強
卵 ３０ｇ
★塩 適宜
添え野菜 お好きな分量
◆焼き肉のタレ・オイスターソース・醤油 各大さじ1
塩 小さじ1/4
生クリーム ２５０ｃｃ
レモンジュース 60ｍｌ
ドライイースト 4g
小麦粉(同量の水で溶いたもの) 適量
★粒マスタード 小さじ1
*卵 1個
七味 少々
オレンジピール 20ｇ
酒      大さじ2
☆揚げ油 適宜
黒ゴマ(黒すりごま) 大さじ2
えび １０尾程度
きのこそぼろ（ID:1048485） 大さじ６
ポン酢 適量
○水 ５ｃｕｐ
スライスオニオン 1/8個分
●塩 小さじ１
塩 小さじ2/1
☆みりん 小さじ２
鳥ガラスープのもと 適宜
いちご 適量
水 約大さじ1
塩・コショウ 適量
ブロッコリー 4房
いりごま 大さじ2
揚げ油 適量
お水 300CCほど
とろけるチーズ 適量
牛乳 60ｃｃ
オリーブオイル 小さじ１
トマト １つ
揚げ油 適量
★すりごま 少々
葛 少々（片栗粉でも可能）
★コショウ 適量
コチュジャン 大匙1
ごま油 小１
☆だし醤油（香味付け） 小１
バター 適量
サラダ油 小１
コーヒー用粉末ミルク 20g
かまぼこOrちくわ １本
卵 適量
水 ７０ｍｌ
醤油 小さじ　1弱　　※火を止めてから入れる。
クリームチーズ 100ｇ
醤油 大さじ2
小麦粉 少々
○しょうゆ 小さじ1
ブラックペッパー …適量
Saltanas 3Tbsp
塩 少々
だしの素 小さじ半分
生くるみorロースト済のくるみ ５０～１００ｇ
★オイスターソース 大１弱
●ゆず・かぼす 適量
☆みりん 中２
にんにく（みじん切り） 小さじ１　１/２
だし顆粒 小さじ1
砂糖 小さじ1杯
白玉粉 ２５ｇ
塩こしょう 適量
○醤油 大2
醤油 50ｃｃ
◎ごま 大さじ１弱
白ごま 適量
卵（全卵） １個
ごま油 少々
タイム …小1/2
ケチャップ 大２
しめじ １パック
片栗粉 大さじ３
白味噌 大匙2
牛乳 50ｃｃくらい
塩＆ブラックペッパー 適量
☆コンソメスープの素 キューブ１個または顆粒小さじ２
●ポン酢 大1
卵 1個
○ごま油 小さじ　1
◇しょうが １かけ
ブロッコリー ☆
しょうゆ 小さじ1
ニラ（３㎝幅でカット） １束
片栗粉 大さじ3〜4
☆水 200cc
ケチャップ 大さじ4
水 適量
★塩・こしょう 少々
小麦粉 適量
砂糖 小さじ　1
鰹節 少々
ごま油かサラダ油 適量
オリーブオイル 小さじ１
旨み調味料 小さじ１
ドライイースト 小１と１/3
塩コショウ 適量
☆マヨネーズ 大さじ1/2
☆酒 大さじ２
しょう油 大さじ1/2
あれば 柚子の皮 適宜
飴細工 適量
★砂糖シロップ 1個
ごま油 大さじ１
白ゴマ 適量
塩コショウ 少々
塩・コショウ 適量
いりごま(白) 好きなだけ
Ｂ　コチュジャン 大１
黒胡椒 適量
くるみ お好みで
大根の葉っぱ 大根1本分
Ａ酒 大さじ２
塩 一つまみ
★片栗粉 大さじ3
砂糖 大さじ１
みりん 小さじ1〜中さじ1杯
塩 小さじ1/2
★塩こしょう 適量
塩 少々
しょうが １片
黒こしょう 少々
サラダ油 小さじ１
粉末のお茶（なくてもOK） 大さじ１
塩 ひとつまみ
◎粒マスタード 大さじ1
醤油 大さじ２
塩コショウ 少々
★酒 大２
コリアンダー（パウダー） 少々
醤油 少々
パルミジャーノ 少々
砂糖 小さじ１
アスパラ 2本
ねぎ 10cm
●料理酒 大さじ１
中華だし お好みで少々
砂糖　　　　○ 大匙１
卵 ２個
Ａ　牛乳 大さじ１
コーティング用チョコレート 好きなだけ
食べるラー油 大匙２
酒 大さじ２
　▼しょうゆ 大さじ1
☆しょうゆ 小さじ１
こしょう 少々
ケチャプ 大１
餃子の皮 ２０枚
ホールトマト缶 ５００g
塩 少々
■ 卵 (M) 1個
こしょう 少々
●コンソメ １つ
パン粉 大さじ３
唐辛子 1/2本分
☆味噌 大さじ1
柑橘類（オレンジ・伊予柑・デコポン等） 大きめ1個
粉砂糖 適量(好みで)
☆しょうゆ 大さじ２
桜えび ひとつかみ
maple syrup 1/3 cup
塩・こしょう 各少々
七味 適量
◎牛乳＋卵１/２個分 ９０～１００㏄
バター、小麦粉(型用) 適量
豆板醤 小さじ１／２
水 2カップ
　飾り用のナッツ、レーズン類 適量
水 大さじ１
にんじん 1-2本
かつおぶし 適量
ケチャップ 大 ５
ケトリング砂糖 5g
酒 １００ｃｃ
小麦粉 小さじ２
卵Ｌ ２個
水 １８０ｃｃ
ドライカシス ４０ｇ
薄力粉 ５０ｇ
バジルペースト 大匙１
☆みりん 大さじ２
卵白 4個
･山椒 少々
高菜の油炒め 大さじ2～3
クレソン 一束
炒りごま 適量
ごま油 大さじ１
ココア 適量
サラダ油 小さじ2
松茸のお吸い物 １袋
胡麻油 小さじ1
●砂糖 大1
砂糖 ８０グラム
ケチャップ 適量
とびっこ 小１パック
バニラオイルまたはエッセンス 少々
ａ・ウスターソース 大１
砂糖 大さじ２
