■酒 40ml
醤油 1ml
○白胡椒 少々
しお 少々
バター 20g
オリーブオイル 大さじ１弱
油 適量
●酒 大さじ2
　　　　砂糖 小２
ﾚｰｽﾞﾝ 80㌘
*酒 大さじ1
○醤油 大さじ1・1/2
　干し椎茸 ２枚
にんにくチューブ 小さじ２
ケトリング用～湯 適量
ケトリング用～湯 適量
☆レーズン 適量
牛乳 カップ1/2
☆しめじ、人参（ﾚﾝｼﾞで下ゆでしておく） 適量
☆酒 大1/2
ダシ粉末 少々
　　小松菜（ほうれんそう） 半束～1束
のり お好みで
ココアパウダー 大1/2
パプリカ(黄・赤・オレンジ) 半分
一味 適量
生椎茸 2～3枚みじん切り
クリームチーズ 100~125ｇ
酒 15ｍｌ
☆醤油 小さじ１
卵白 2個
パルメザンチーズ（上に散らす） １０g
なばな(塩茹でしておく) 2，3本
醤油 大さじ2 
大根おろし 適量
きび砂糖 小さじ２
砂糖 大さじ１～２
バターorマーガリン １０グラム
水 少々
（冷ご飯の際）のり １/２枚
ゼラチン 7ｇ
溶かしマーガリン 1/4カップ
☆卵 １個
だし汁（レシピID:1044166 ） ３００ｃｃ
★納豆 １パック
塩コショウ 適量
（水：片栗粉 大２：大２）
☆味噌 小さじ1
醤油・ソース・マヨネーズ・ポン酢・青海苔・かつおぶしなど お好みで
★薄口しょうゆ   少々
酒 小さじ1
重曹 小さじ１/２
☆だし醤油 小１
テンメンジャン 大さじ1
牛乳 155ｇ
ねぎ お好みで
醤油 少々（お好みで）
パスタ ８０g
◆マヨネーズ 大匙１
*砂糖 大さじ１
◎ウスターソース 少々
　☆だし汁 300ml
砂糖 大さじ１
ピザ用チーズ ２０ｇ
☆おろしニンニク 1mm弱(※風味程度に極微量！）
卵 1個
Ⓑ　　砂糖 大１
パセリみじん切り 少々
◎砂糖 小さじ１／２
ウェイパー 小さじ1強
ナツメグ 少々
溶けるチーズ 適量
・ごま油 適量
トマト缶 ２分の１缶
◎砂糖 大さじ1と2/1
薄力粉 大さじ1と1/2
しその葉 ２枚
塩コショウ 適量
みりん 大さじ１
チョコチップ（白・黒） 各３０ｇ
こしょう 少々
塩 小匙２分の１
●しょうゆ 大さじ４
塩コショウ・黒コショウ 適量
生クリーム １００ｃｃ
砂糖（ソース） 大さじ２分の１
※マヨネーズ 大さじ1
油・牛乳（温める） 各80ｃｃ
オリーブオイル 大さじ１
●昆布茶 小さじ2分の１
粉チーズ 大さじ1
ケトリング用　湯 ２L
パスタ １００ｇ
◎醤油 大さじ3
ねぎ 少々
☆ハチミツ 小さじ２
☆酒 大さじ２
◎にんにく（すりおろし） 1片
粗挽き黒こしょう お好みで
ごま油 適量
ケチャツプ 適量
みりん 大２
カレールー １と1/2～2カケラ　（こくまろの場合⇒　1箱の中にルー2パック入りで1パック4カケラの意味）
ビターチョコ ６０ｇ
水溶き片栗粉 適量
たこ　スライス ４枚
白ワインビネガー 大さじ１
★醤油 大さじ1強
ｂ小麦粉 大さじ３
●砂糖 約大さじ１
目玉焼き・ご飯 お好みで
★水 20g
中農ソース 小1
塩 適量
レモン汁 大２
★豆板醤 小さじ１
白ゴマ 適量
☆だし醤油 大１
サラダ油 適量
ニンニク ひとかけ
水 材料が半分浸るくらい
★キャベツ 3枚(みじん切り)
●砂糖 大さじ１
製菓用チョコレート ３０グラム
★酒 大匙半分
最後にいりゴマ お好みで
長芋すりおろし 1/4カップ
中華あじの素 小さじ１
塩 大さじ１
◇練りわさび チューブで２㌢程
生クリーム 50cc
◆にんにく ２かけ
ローリエ（なくてもいいです） １枚
えのきだけ 少々
にんにく ４片
鶏ガラ素 小さじ2
★塩コショウ 少々
　砂糖 大さじ2.5
●砂糖 大さじ1/2
こしょう 少々
◎サラダ油 大さじ　１
☆砂糖 小さじ１
☆牛乳 １００ｍｌ
（ B ）卵 1個
にんにくチューブ 1センチ
　　粉ゼラチン １５ｇ
表面に塗るバター 適量
酒 大さじ1
ローリエ １枚
◎しょうゆ 大さじ1
レモン汁 小２
塩コショウ 少々
醤油 小さじ1.5
しょうゆ 小さじ２
※　醤油 大さじ１
カレー 450～500g程
★塩 適量
○砂糖 大さじ3
ローリエ １枚
★水 一合分
ホイップクリーム（チョコ味とバニラの２種） 適量
大葉 ２枚
☆パルメザンチーズ 大さじ1
青ネギ 1／2本
水溶き片栗粉 適量
●黒コショウ ２～３振り
白ゴマ 小さじ１（お好み）
ドウチジャン（あれば） 小さじ1
きゅうり 薄切り(しゃく用)
塩 少々
水 30g
ごま油 一回り
塩 小さじ１
★醤油 大さじ1杯
ショウガ １かけ
水 大さじ２
オリーブオイル 大さじ１
●黒胡麻 大さじ１
酒 大匙1
ショウガ １かけ
★醤油 50ｃｃ
●こしょう 少々
★酒 大さじ１
お酒 適量
塩 仕上げ調整用
梅干し １個分の果肉
柚子 ２かけら
★水 200ｃｃ
あんこ 100g
◆粉寒天 大１
醤油 適量
▼水 800ｃｃ
水 １００cc
ごま油 適量
♥中華だしの素（または韓国の牛だしの素） 小さじ２分の１
シナモン 大さじ1-3（お好みで）
卵 １個
Ｂ醤油 小さじ2
小麦粉 大さじ1
塩こしょう 少々
粉砂糖(仕上げ用） 適量(好みで)
ひまわりの種 大さじ1
薄力粉 20g
ハチミツ 小さじ１
◇砂糖 小1/2
白ワイン 大３
サラダ油 大さじ2
白髪ネギ 適宜
グラニュー糖 ５０ｇ
大根 好きなだけ
★ホットケーキミックスでも可（この場合お砂糖は控えめに） ７０ｇ
にんにく（みじん切り） ひとかけ分
しょうゆ 大さじ2
酒 大３～４
水 ５０ｃｃ
塩、こしょう、中華味の素 各適量
★豆板醤 少々～
生姜 1/2かけ
塩・コショウ 少々
しょうゆ 大さじ２
･中華だしの素 中1
切り昆布 3g
☆ケチャップ☆ お好みで
牛乳 25ml
サラダ油 適量
ナツメグ 少々
中華生麺 1玉
粗挽き胡椒 少々
ごま油 少々
ソース 大さじ２
コーンスターチ（片栗粉、薄力粉でも可） 大さじ2
塩・こしょう 少々
■ごま油 小さじ1
水 30cc
にんにく（チューブでOK） 少々
小麦粉 大さじ１
ウィンナ ２本
塩コショウ 少々
白ワイン 1/2カップ
ラム酒 小匙1(無くてもOK♪)
片栗粉 少々
オタフクソース（普通のソースでもよい） 適量
醤油 大さじ１
☆砂糖 １０ｇ
にんじん 1本
☆コンソメキューブ 2個
○スライスチーズ ２枚
アンチョビペースト 小さじ２強
めんつゆ ストレートを20～30g
水 100cc
･お酒 100cc
　　砂糖 小さじ１
ナツメグ 少々
豆板醤 なし～小さじ1（おこのみの量)
片栗粉 少々
カレールー 半箱
こしょう 少々
塩コショウ 適宜
粉砂糖 少々
☆熱湯 大さじ1／2
●ケチャップ 大２
刻みパセリまたは乾燥パセリ（あれば） 少々
砂糖 大2
◎水 ５０ｃｃ
●にんにく・しょうがすりおろし 各小さじ２／１
＊塩 小さじ１/２
からし 適量
餃子の皮（またはワンタンの皮） １２～１５枚
A. 酒 大3
片栗粉 大さじ1
塩、砂糖 味を見て、適量
粉チーズ 大さじ1
バター 大さじ1
鷹の爪 好みで２～４本
しゅうまいの皮 ２４枚
トマト １／２個くらい
水 １カップ
ブルーベリー（冷凍） 5～6粒位（省いても可、お好みで）
チョコチップ 40g
納豆のﾀﾚ･ｶﾗｼ 付属分
ニラ・もやし 一袋
小麦粉 大さじ2
炒め用バター又はオイル 適量
あさつき小口切り 適量
片栗粉 小さじ2
パセリ(みじん切り) 大さじ1
コンソメ １個
牛乳 小さじ2
●赤みそ 大さじ2
☆白ごま 小さじ1
揚げ油 適量
ピザ用チーズ 好きなだけ
●ﾀﾞｰｸﾗﾑ 15cc
たくあん（無くても可 少し
小口切りネギ 適量
*卵 1個
(バタｰ 少々)
オイスターソース 大さじ３分の２
赤唐辛子 2/1本(好みで入れなくてもいいです)
塩 適量
チョコレート（アルファベットチョコを使用してます） ６５ｇ（１２個分）
パセリ 適量
固形コンソメスープの素 １個
酢 150cc
☆バター又はマヨネーズ 1かけ（10g位）
アーモンドスライス 適量
豚肉（豚バラがおいしい!） 適量
マーガリン 適量
豚肉（角煮用） ２００ｇ
おろし生姜 小匙１
きざみのり お好みで
はちみつ 大さじ２
☆塩・胡椒 少々
ウスターソース 小さじ１
ごま油 小さじ1
塩・こしょう 適量
オイスターソース 大さじ１と２/１
◎醤油 小さじ２
塩コショウ 適量
☆牛乳（生クリーム） ６０ｇ
小葱 お好みで
★薄力粉 20g
◎粉チーズ 小さじ1
フライパンなど大きめの鍋に 適量
具（アスパラガス・トマト・ブロッコリー・照り焼きチキンなど） お好みで
粉砂糖 適量
しそ 5〜10枚
こしょう 少々
★マヨネーズ 大匙３～４杯
こしょう 適量
☆片栗粉 大さじ２
油 多めに適量
じゃがいも・にんじん・かぼちゃばど 好きなだけ
バター １０g
★ﾄﾞﾗｲﾌﾙｰﾂ(今回はﾐｯｸｽのとｸﾗﾝﾍﾞﾘｰ) 20g
くるみ お好みで
ダシ昆布 1枚
醤油 小１
ごま油 3ｇ
※　あらびき黒コショー 適量
●玉ねぎ 1/4
生クリーム ５０ｇ
　塩・コショウ 少々
サラダ油 適量
中華だし 1袋
ピザ用チーズ 適量
醤油 大３
八丁味噌 大さじ５
小麦粉 バターの周りにつける
塩・こしょう 少々
バター（炒めるのに使用） ひとかけら
スライスアーモンド 適量
（お好みで）粉チーズ 適量
パセリor小ネギ 適量
白味噌 大さじ１
重曹 小匙1/4
塩焼そばの粉末ソース 1袋
酒 大さじ１
はちみつ 大さじ１
ナパージュ 適量
白ゴマ（飾り用） 適宜
本だし 小1
バター（マーガリン） 大１
★スライスアーモンド 100ｇ
カレー粉 大さじ1
　　水 大さじ３
たまご(Ｍサイズ) ２個
ナツメグ 少々
　砂糖 大さじ3
油 適量
✿長ネギ(粗みじん） 1/2本分
こしょう 小さじ１
コンソメ 1個
ざらめ 大さじ１
酢 50cc
◎塩 小さじ1／4
生クリーム 60g
ケチャップ 適量
酒 小匙1
お湯 200ｍｌ
タマネギ 中１個
★しお・こしょう 少々
人参 １本
刻み海苔 適量
ケトリング用　砂糖 大さじ２
醤油（薄口：濃口） 大さじ（３：１）
酒 大さじ１
オレンジの皮 半個分
＊＊料理酒 小さじ2
ホワイトチョコ デコ用(目安10～20ｇ)
椎茸(みじん切り) ２枚
チューブの生姜 小さじ２分の１
　トマト缶の残り汁をすすいだ水 適量（煮詰めるので少なめに）
酒 大さじ１
レーズン 適量
砂糖 小さじ2
☆粉末鶏がらスープの素 ティースプーン１杯
砂糖 適量
ピザ用チーズ ５０ｇ
水（又は水＆ココナッツミルク） 水：２５０ml（水＆ココナッツミルク：水１００ｍｌ＆ココナッツミルク１５０ｍｌ）
塩 少々
★塩ｺｼｮｳ 適量
プチトマト ２個
牛乳 １８０ml
△砂糖 大さじ２
和風ドレッシング 適宜
きび砂糖 小匙１
●チャッップ 大４
飾り用パセリ 適量
きゅうり ２本
◎水 200cc
あんこ、黒ゴマ、チーズ、乾燥バジル等 適宜
a. カイエンペッパー 適宜
牛乳 大さじ1
ソース用（ケチャップ・酒・ウスターソース・赤味噌） 適量
砂糖 大さじ1
●味の素 少々
トマト缶 １/３缶
砂糖 大さじ２
マヨネーズ 大さじ１
コーン 大さじ１
塩 少々
餅 好きな分だけ　一人１個程度
コンソメ 小１強
ネギ １～２本
砂糖 少々
酒/醤油/みりん/酢 各大匙1
ブロッコリー １００ｇ
片栗粉 小匙2
白菜 2～3枚
鰻のタレ 適量
■オイスターソース 小さじ１
乾燥パセリ 少々
☆しょうゆ 大1
バター 10ｇ
※醤油 マヨネーズの1/3
とろけるチーズ 80ｇ～100ｇ
塩 適量
ポン酢 大さじ1/2
ニンニク １片
目玉焼き 2個
食パン（8枚切り） 2枚
★水 300cc
牛乳 ２００ｃｃ
玉ねぎ 1/4
★水 11/2カップ
＊ベーコン、しめじ お好みで
打ち粉 適量
たまねぎ ４分の１個
☆パン粉 １カップ
♦グレープフルーツ果汁 大さじ2
オリーブヴァージンオイル 大さじ1
醤油 小さじ１，５
オリーブオイル 大さじ１
牛乳 大さじ１
☆八丁味噌 大さじ５
だしのもと 小さじ１
鶏がらスープ 3/4カップ
舞茸（きのこ類） １株（１００ｇ）
a酒 大さじ１
☆ｸﾞﾗﾆｭｰ糖 適量
◎コンソメスープの素 小さじ1
豚腸（フランクフルト）２ｍ １本
グラハムビスケット 70g
コンソメキューブ 1個
・レモン汁 適量
☆パセリ 少々
ｼﾘｱﾙ 40㌘
鷹の爪 適量
＊ケチャップ 大さじ４
オリーブオイル 大さじ２
ベーコン（ハーフ） １０枚
水 １００g
マヨネーズ 好みの量
卵黄 ５個
水 大さじ２
カイワレ 1パック
◎みりん 大さじ３
粉チーズ（あれば） 適量（とろけるチーズで代用可）
マヨネーズ お好みで
醤油 大さじ１
　◎マヨネーズ 大さじ１
こしょう 少々
◎あんこ（市販品） お好みで大さじ５～
　片栗粉 大さじ2
豚ミンチ 200g
■にんにく（チューブ） ２センチ弱
オリブ油 大２
片栗粉 0.5g
塩胡椒 適量
にんじん 1/2本
ソース・青海苔・マヨネーズ・かつおぶしなど お好みで
砂糖 10g〜20g
水 大さじ２
☆人参 1/2本
水溶き片栗粉 適量
一味唐辛子 お好みで
牛乳 ２００ｃｃ
しょう油 大さじ１
かつお節 適量
☆みりん 大さじ２
乾燥ローレル 1枚
スライスチーズ 3枚
〇蓮根 100g
ごま油 少々
☆ミツカン熟味酢 大さじ２
塩・ｺｼｮｳ 少々
☆水 小さじ2
★バター １０ｇくらい
☆すりおろししょうが（チューブでもＯＫ） 小さじ２（お好みで）
こしょう 少々
＊砂糖 大さじ2/3～お好みで
☆おろし生姜 1かけ分
牛乳 40ml
しょうゆ 大さじ３
きざみねぎ・きざみのり 適量
塩、こしょう 適宜
春雨 40g
☆マヨネーズ 大さじ１/２
いくら 適量
パセリのみじん切り（ドライでも） 少々
りんご摩り下ろし １／４個
砂糖 大さじ2
赤唐辛子（辛口の場合お好みで） 1~２本
強力粉 適量
みりん 大さじ２
白ゴマ 少々
牛乳＋水 800cc
オリーブオイル 少々
牛乳 ３００ｃｃ
塩・こしょう 少々
ケチャップ 大さじ１〜２
カットトマト水煮 ２００ｇ
砂糖 小１／２
こしあん １００ｇ
仕上げ用溶き卵 適量
サラダ油 適量
牛乳 200ｃｃ
塩コショウ 少々
塩こしょう 少々
みりん 大さじ１
酢 大さじ１．５
★ブラックペッパー ５振り程度
★オイスターソース 大匙半分
塩コショウ 少々
砂糖 大さじ３
★顆粒かつおだし 小さじ１/４
※バナナ １本（飾りに２本）
★醤油 大さじ２
★ほんだし 大さじ１
めんつゆ 大３
かつおぶし （適量）
海苔 １枚
◇豆乳 １カップくらい
水 少量
卵 １個
★酒・砂糖・醤油 大さじ３
しょうゆ 大さじ１．５
☆牛乳 大さじ１
アーモンドスライス 適量
レーズン ５０ｇ
●塩コショウ 少々
塩・こしょう 適宜
かつおだし 大さじ1
オリーブオイル 少々
とうがらし １本（お好みで）
塩・こしょう 適量
☆コーンスターチ（なくてもok) 大１
●だしの素 小２分の１
レーズン ４０ｇ
薄力粉・溶き卵・パン粉・揚げ油 各適宜
片栗粉 適量
みそ 適宜
●水 100cc
★輪切り唐辛子 ひとつまみ
マッシュルーム 100g
卵白 3個分
黒コショウ 適量(最後にふりかける分)
レーズン 適宜
あればナツメグ 少々
☆グラニュー糖 ２５ｇ
ウインナー 8本
コンソメ(顆粒） 大さじ１
（あれば）乾燥パセリ 少々
・だしの素 小さじ０。５
ソフトいちじく（ドライフルーツみたいな） 10個くらい
粉チーズ 適量
ウスターソース 大さじ２.５
Ｂ砂糖 大さじ１
＊卵白 ４個
レモン汁 小さじ2
付け合わせジャガイモ又はパスタ 適量
イタリアンパセリ 適宜
にら 10本くらい
はちみつ スプーン大盛り3，4杯
☆熟味酢 大さじ3
☆オイスターソース 小さじ2
○ナンプラー 大さじ1
付け合せ野菜(レタスやサラダ菜など） 適量
酒 大さじ1
七味マヨネーズ お好みで
◎ほんだしこぶだし 小１
★酒 大２
アスパラガス 約１０本
みりん 大さじ2
○ナンプラー 小さじ1
ホワイトチョコレート 40g(Meijiの板チョコなら1枚です)
小麦粉 少々
Ａ　　酒 大１
白ワイン 1/4カップ
醤油 大２
白ごま 大さじ１
片栗粉 大１
ベーキングパウダー 小さじ１
三温糖 大さじ３
グラニュー糖 ４０ｇ
バター 大１
・ガーリックパウダー 適宜
中ざら糖 適量
ウインナー（今回はパルキー使用） 21本
好みの彩り野菜 適量
無塩バター 25ｇ
ケトリング用　湯 ２L
※砂糖 ５０g
◎湯 400cc
ナツメグ・オールスパイス（あれば） 少々
☆片栗粉 小さじ1
☆水 ３カップ
★水 600cc
豆乳 250cc（半分を生クリームにするとよりｸﾘｰﾐｰに）
揚げ油 適量
みりん 大匙1
塩こしょう 少々
塩・コショウ 少々
重層 小さじ半分
ナパージュ 適量
りんご 小１コ
黒炒りごま 大さじ１～
人参・ほうれん草・じゃが芋・ハム・ベーコン お好きな具を適量
◎マヨネーズ 大さじ3
●こしょう  少々
柚子胡椒 小１
生姜 みじん切りで大さじ1強
酢 大さじ4
粒あん 100ｇ
オイスターソース 小さじ1
砂糖 １０ｇ
キムチ 100グラム
にんにく 1かけ
チョコレート(ミルク) 60g
●グリーンカルダモン、クローブ（ホール） 少々
塩 小さじ２
粒マスタード ３５ｇ
打ち粉用の粉（薄力粉、または強力粉） 適宜
森○のココア 大匙３
白花豆の甘納豆 １１０ｇ程度
ケチャップ 適量
★シナモンパウダー ６ｇ
サラダ油 適量
◆レモン汁 大４
ごま油 大さじ1～
みりん ３０ｍｌ
ごま油 少々
生姜 ５～７ｇ（好みで）
にんじん ５０ｇ
青ネギ 適量
チョコレート 20ｇ
☆醤油 大匙２
牛乳 150ｃｃ
薄力米粉 ７０グラム
バター 大さじ1
酢 ３０～５０cc
クックパークッキングシート 正方形に２枚
ニンニクチューブ　● 小匙２分の１
しょうがジャム（レシピID :914530 by いっとままさん） 大さじ２
水 材料がかぶる程度
オリーブオイル 適量
アボカド 2/1
煎りごま 大さじ１
　粉チーズ 大さじ１
B　クラッカー（グラハムでもクッキーでも） ５０ｇ
○卵白 Ｍ３個
トマトケチャップ 大さじ２
白ゴマ 大さじ１．５
・砂糖 大さじ２
パルメザンチーズ 適量
塩（ぶりした処理用） 適量
たまねぎ 1/4本
スライスオレンジ 数枚
しょうゆ 大さじ１．５
みりん 大匙１
レモン果汁 小さじ１
水 １０００ｃｃ
○ブラックペッパー（ホール） ２０粒
レタス 適量
湯 大匙２杯
ケチャップ 大1
ゼラチン 5グラム
塩 少々
パセリ 好みで
☆お酒 大さじ1
干ししいたけ 大きめ１つ
○みりん 大４
ローリエ（あれば） 1枚
レモン汁 大匙１
塩コショウ 少々
◆ペッパーソルト 少々
市販カレールー １／２
蜂蜜 大さじ２
　　玉ネギ 半分
●酒 大さじ1
輪切り唐辛子 ひとつまみ
照り用卵 適量
揚げ油 適量
水溶き片栗粉 適量
ケチャップ 適宜
オイスターソース 小匙２
塩コショウ 少々
Aしょうゆ 小2
＊オイスターソース 小さじ1～2
にんにく ２片
かぶ 1個
引き締め用の塩 1つまみ
水 300cc
インスタントコーヒー 大2
水 ２００～３００cc
サラダ油 大さじ1
酒、しょうゆ、みりん 大さじ１ずつ
ニンニク（なくても可） １片
塩 少々
玉子（ゆでておく） ４個
ナッツ（おつまみ用でも） 大さじ1くらい
バター 40g
片栗 大さじ１
明治ミルクチョコレート １枚
みりん 大さじ1
コンソメ 1こ
鶏がらスープの素顆粒 大さじ2分の1
オリーブオイル 少々
ピーナッツ 大さじ３
塩コショウ 少々
酒 大さじ1
蟹の殻でとるダシ 500cc
水 1cup
塩 小さじ1/4
しょうゆ 大1
ヨーグルト 大さじ４
マシュマロ １袋（１００円ぐらいの）
ナンプラー 大さじ1と1/2
めんつゆ お好みで
粉砂糖 15ｇ
ココナッツミルク １缶(４００ml)
塩・胡椒 適量
★パプリカ（粉） 小さじ１と1/2
アンズジャム 50g（裏漉ししたもの）
卵白 ４個分
◆味噌 30ｇ
白いりごま 適量
焼き豆腐 1/2丁
塩 適量
いか天 お好みで
☆砂糖 大1
ドライイースト 小さじ１
ピクルスｏｒラッキョウ ５個
ねぎ 少々
☆コチュジャン 大さじ１～
紹興酒 大さじ5
シナモン 少々
こぶ茶 小さじ1/2
乾燥パセリ 適量
●かつお節、青のりなど お好みで
干しいたけ 2枚
砂糖 小さじ１
唐辛子（一味） お好みで
バニラエッセンス 少々
・ケチャップ 大さじ2
・料理酒 大さじ1
レモン汁（あれば） 適量
塩 ０．５グラム
★トマト水煮（カットでもホールでも） 280グラム
卵（黄身） １個
☆昆布茶 ひとつまみ
薄口醤油 小さじ１/２
みょうがや小葱の小口切り 適量
★胡椒 少々
仕上げ用いちごソース 適量
ショートパスタ（フジッリ） 100ｇ
酒 大さじ2
お醤油 少々
酒 大さじ１
◆うすあげ 1枚
★味噌 大さじ２
とろけるチーズ 適量
粒マスタード 小さじ１
水 １、７５リットル
揚げ油 適量
コショウ 少々
こしょう 少々
●塩・こしょう 適量
水 １カップ
ラード ９ｇ
粉チーズ １００ｇ
ラム酒 大1～
★粗びき黒胡椒 少々
Ground Flax seed　（または白ゴマ） 小匙１
★粗びき黒胡椒 少々
ホワイトソース 適量
Ｂ：醤油 大さじ１
★大根おろし ３センチ分
ごま油 大1
白ゴマ 適宜
☆豆板醤 大さじ1
醤油 50㏄
冷凍から揚げ（ウインナーやハムでも） ３～４個（適量）
砂糖 小さじ２
サラダオイル 大匙2
◆牛乳 200ml
★にんにく・しょうが（チューブ） 各１ｃｍほど
ワイン 大さじ２
＊ミツカン熟味酢 大さじ3
ホンダシ 小さじ2
ねぎ、にらなど お好みで
コショウ 少々
★塩 ひとつまみ
●ネギの青いところ １本分
こしょう 少々
●片栗粉 適量
薄力粉 １５ｇ
☆黒コショウ 適量
牛乳 ３００ｃｃ
あればナンプラー 少々
ごま油 小さじ１
パルミジャーノ・レッジャーノ（粉チーズ） お好みで
●水 ３カップ
☆塗り卵 適量
ニンニク ２粒 
★砂糖 小1/2
しょうが　にんにくのすりおろし 各　1かけの半分
＊みりん 大さじ１
卵 1個
･みりん 30ｃｃ位
塩胡椒 少々
シナモンシュガー たっぷり
（ソース）しょうゆ 少々
■ココア 大２～３
バター（またはサラダ油） 大さじ１くらい
キューブピンクチョコ（飾り） ８個
にんにく ２片
鶏がらスープ １００ｃｃ
◆レモン汁 小さじ１弱
塩コショウ 適量
煮リンゴ リンゴ1～2個を砂糖約３０ｇで煮て冷ます
塩 少々
醤油 お好み
ブイヨン 240㌘
鶏がらスープ 浸るぐらい
★生クリーム 大さじ2
刻みﾊﾟｾﾘ 適量
イタリアンパセリ（orパセリ） 少々
※苺(巻き込む分) 8～10粒
☆酒 小さじ１
　みずあめ １５ｇ
おろし生姜 適量
★砂糖 大2
★サツマイモ １本
固形コンソメ 1個
 「レモンと香味野菜で♪簡単チヂミだれ」 レシピID :1053085
付け合せ野菜 適宜
ｽﾗｲｽﾏｯｼｭﾙｰﾑ 6個分
油揚げ 半分
出汁 大さじ1
ラムレーズン 適宜
★水 カップ1
ほうじ茶（粉末） ５ｇ
デミグラスソース(缶・レトルトなど） １個
★塩コショウ 少々
★くるみ・レーズン･オレンジの皮の砂糖漬け（オレンジピール等） 適宜
砂糖 小匙１／２
揚げ油 適宜
▽砂糖 ７０ｇ
ごま油 少々
塩コショウ 少々
★コンソメ 大さじ3
生クリーム 40ml
ﾍﾞｰｷﾝｸﾞﾊﾟｳﾀﾞｰ 小1/2
粉チーズ お好みの量
★ケチャップ・とんかつソース・水 ２：１：１の量で
オリーブ油 100cc
●にんにく 2片
◎てん菜糖 ひとつまみ
鶏がらスープ 4、5人分
えのき 1パック
☆水 50cc
かいわれ 適量
三温糖 大1
＊水 ５００ＣＣ
お好みのおでんの具 適量
塩（キャベツ塩もみ用） 小さじ１
☆醤油 小さじ１
にんにく 2片
だしの素（顆粒） 小さじ１／２
☆固形コンソメ ２個
薄力粉 25g
卵 一個
固形スープの素 １個
椎茸 １枚（半分）
オリーブ油 大さじ2
卵 M玉１個
B　砂糖 大匙1/２
☆生クリーム ５０ｃｃ
片栗粉 小さじ２
しょうゆ 小1
☆コチュジャン（辛いのが苦手な方・お子様には赤味噌） 小さじ１～２（お好みで）
C　片栗粉 小匙２
コンソメ顆粒 大さじ3
ニンニク 中一カケ
ドライイースト 3g
パセリ（乾燥でもフレッシュでも） 少々
キュウリ １本
塩 少々
･白いりごま 大１
白すり胡麻 お好みで♪
赤ワイン 大さじ５
しらがネギ 適量
片栗粉 大さじ３強(肉全体にしっかり絡む量)
☆砂糖 大匙２
セロリ １枚
塩こしょう 少々
･水 ２カップ
つけてみそかけてみそ 好きなだけ
★酢 大さじ２
大根おろし 約１０ｃｍ分
チョコスプレー 適量
★ウェイパー（または中華あじ） 小さじ１／２
カレー粉 小１
塩 適量
チーズ 適量
のり 適量
ガーリックパウダー 少し
砂糖 少々
☆水 適量
オリーブオイル 適量
･卵 適量
・レタス お好み
●料理酒 〃
たかの爪(輪切り） 1本分
★しょうゆ 大さじ1・1/2
白ごま お好み
サラダ油 適量
サラダ油 適量
■酒・みりん・しょうゆ 各大さじ１．５
お好みでネギ 適量
レモン果汁(ポッカレモン) 大さじ1
塩コショウ 好みで
スイートチリソース 大さじ３
胡椒 お好み
酒 適量
水 １００ｃｃ
塩・こしょう 適量
ごま油 適量
タカラ本みりん 大さじ2
無塩バター ５０ｇ
酒 ５０ｃｃ
酒 大さじ2
生姜のすりおろし 少々
小麦粉 25g位
カレールー 半箱～好みの量
●こしょう 少々
しょうが(チューブ) 少々
ローリエ 1枚
バニラアイス お好みで
卵 Mサイズ１個
★豆板醤 小さじ１
白ワイン 大さじ1+大さじ1
オリーブオイル 少々
水 大さじ1
刻みネギ 適量
★牛乳 アイスと合わせて190mlにする
昆布 ２～３枚
 ✻ みりん 大さじ１／２
オリーブオイル 適量（炒め用）
バター ３０グラム
　★水溶き片栗粉 小さじ１
お好みでチーズ/クリームチーズ/パルメザンなど 小さじ1
鶏もも肉 ８０ｇ
ねぎ 少々
ごはん ４人分
玉葱（みじん切り） 1/2個分
ブラックペッパー 適宜
塩コショウ 少々
◆ホールトマト １缶
ブラックペッパー お好みで
サラダ油 ３０ｇ
塩 ひとつまみ
★マヨネーズ 大さじ3
ﾌﾟﾁﾄﾏﾄ 4個
和風だし ひとつまみ
砂糖 大匙２～４（お好みで）
昆布だし 大匙3
さとう 小さじ１ １/２
★水 ２カップ
しょう油 大さじ１1/2
塩 小さじ1
豆板醤 小さじ２分の１
片栗粉 適量
ご飯 適量
酒 大さじ２
●しょうゆ 大さじ2
卵 １個
小麦粉 大4〜4強
しょう油 小さじ2
揚げ油 適量
ゴマ 適量
卵 2個
好みで仕上げ用粉砂糖 適量
★生姜（千切り） １片
にんにく 一片
☆レモン汁 少々
サラダ油 適量
黄パプリカ＊＊ ２０ｇ
　味噌 小さじ２
食パン １枚
塩、胡椒 適宜
生春巻きの皮 ４枚
唐揚げ粉 大さじ４
パルメザンチーズ 適宜
塩・こしょう 適量
低脂肪生クリーム １００ｃｃ
ホワイトチョコレート ４０ｇ
生姜（微塵切り） 小２
いりごま 適量
顆粒和風だし こさじ2
生姜 1かけ分すりおろし
しょうゆ 50ｃｃ
レモン汁 大さじ１
●すりごま 適量(大さじ1程度)
片栗粉 大さじ1/2
●ｵｲｽﾀｰｿｰｽ 小さじ1
ノンオイルタイプのシーチキン 大さじ1～2
◎　酒 小さじ　１
バター ６０グラム
a.白ワイン 大さじ1
白菜 4枚
ごま油 適量
レモン汁 あれば少々
ピーマン 2個
にんにく・しょうが 少々
飾り用煎りゴマ 少々
☆醤油 ２５cc
シナモンシュガー 適量
酒 魚1匹:大1強
豆乳 １カップ
