うどん(ゆで) 2玉
お水 適量
塩 少々
レモン果汁 少々
錦糸卵 卵１つ分
○酒 大1
わさび 適量
お好みで食紅など 少々
バニラエッセンス 少々
◎砂糖 小匙２
★しょうゆ 大さじ１弱
☆海苔 ひとつまみ
片栗粉 適量
●ウェイパー(中華の素や鳥ガラスープの素でも可) 小匙１
クリープ 大さじ1
片栗粉 大さじ1
★白だし 小さじ１
・マヨネーズ 小さじ２
水でもどした高野豆腐 1～2枚
バター ３０ｇ
タコ・シーズニングミックス １／２袋
酢 大1
シナモンパウダー 小さじ1
砂糖（てんさい糖やきび砂糖） 大さじ3
ココットに塗る用油 適量
のり 適量
カットトマト缶 １／２缶
もやし ひとつかみ
ぽん酢 適量
グレープフルーツ 2分の1個
オールスパイス 少々
塩 小1と1/2
牛乳 小さじ1
グラニュー糖 大さじ2
☆しょうゆ 大さじ１．５
水 ２５ｃｃ
牛乳 100ml
大葉にんにく醤油(レシピID :248794 ) or 醤油 大2
だし醤油 大さじ1
酒 大さじ２
赤ワイン １カップ
みりん 大さじ１
ごはん ご飯茶碗３杯分
★きくらげ(ぬるま湯で戻す) 4枚
アボカド １個
☆しょうゆ 小さじ1
きのこ ブナピー.40g
醤油 大匙２
錦糸玉子 適量
☆生姜 少量
大葉にんにく醤油(レシピID :248794) or 醤油 大3～4
しょうが（すりおろしておく） 一欠け
砂糖 小2
★おくら 適量
　にんにくすりおろし 大さじ１　※
卵黄 １個分
シナモン お好みで
蜂蜜 小さじ１
バター 30グラム
出汁 2カップ
塩･こしょう 適宜
ゴマ 適量
醤油 適量
レモン汁 大さじ２
しょうゆ 大さじ１
酒 大さじ１
豆乳 200ｍｌ
塩、胡椒 少々
にんにくのスライス １／２　片
ドライイースト 5ｇ
市販のカレールー １／２箱
しょうが ひとかけ
白味噌 小さじ1
ごま油 適量
塩 少々
早ゆでマカロニ １カップ
顆粒だし 小１／２
クリームチーズ １００～２００ｇ
A  ごま油 大さじ1/2
乾燥よもぎ 大匙１
ねぎ（白い部分） １０センチくらい
塩 ひとつまみ
・おろし生姜 少々
レモン汁 大匙１位
ラム酒 大匙１
くるみ ２個
トマト １個
塩 小さじ１／４
チョコチップ お好みで
オリーブオイル 少々
みりん 大さじ1
かつお削り節 3～4ｇ
★水 200ｍl
☆しょう油 大さじ3
じゃがいも 80ｇ
ナツメグ 極少量
サラダオイル 大さじ３
生姜 ひとかけ
パン粉 大さじ2
わさび醤油（アボカド漬ける用） 適量
ニンニク 2欠片
うすくち醤油 小さじ２杯
油 フライパンの底面覆われる位
ケチャップ、マヨネーズ 少々
ほうれん草 一束
牛乳 1６０ｇ
ラム酒 大さじ1
ガリ たっぷり
◎みりん 大匙1
●砂糖 少１/２
のり 適量
粗挽き黒コショウ 適宜
酢 大匙１杯　（お好みで）
塩 少々
塩・こしょう 適量
豚こま切れ ５０ｇ
○もめん豆腐 １５０g
バニラオイル 少々
木綿豆腐 ４分の１
ニンニク（チューブで可） 1片
塩 小さじ１／２
豆板醤 大さじ２
■┏卵黄 Ｍ～Ｌ・１～２個分（Ｍ～Ｓ２個でも）今回Ｍサイズ２個、計量カップで４０ｃｃ程度
塩・コショウ 適宜
乾燥タイム 適量
ポン酢 適量
塩コショウ 少々
●お吸い物の素（松茸風味） 一袋
パン粉 適量
★砂糖 大さじ2
豆板醤 小さじ1/2~1
ニンニク 数切れ
生クリーム ５０ｃｃ
すりおろししょうが 適量
キュウリ 少々
砂糖 大さじ１
砂糖 5～30g
バター １０ｇ
☆バニラエッセンス 適量
お好きなキノコ（しいたけ、しめじ、マッシュルーム等） 適量
★バター 大さじ1
焼き用油 適量
★レモン汁 小さじ１～２
すりごま 大さじ1
★ほんだし ひとつまみ
塩・こしょう 適宜
鯛のあら 適量
★玉子 1個
酒 大さじ2
○水 適量
卵黄 1個分
●しょう油 小さじ1
チョコチップ 30ｇ
②用　レーズン １５０ｇ
塩 小さじ1
長ネギ １本
ごま油 大さじ1/2
コンデンスミルク 大さじ４
◎砂糖 大２
Ａ：青さ粉（青のり） 適量で多め（３ｇ位）
塩 少々
ごま 適量
塩 小さじ１
ドライイースト 小さじ１／２
◆カレー粉 小匙２／３
　　　砂糖 大１（お好みで）
○醤油・みりん 小さじ２
★塩 小さじ１
ごま油 小さじ１
◎コンソメ（顆粒） 小さじ1
白ワイン・ニンニク・オリーブオイル 少々
スナップエンドウ ３本
酒・砂糖 大さじ１
塩 少々
マヨネーズ 大３杯
☆牛乳 １００ｃｃ
シチューのルー ２分の１箱
塩こしょう 適量
水 2000cc
小麦粉 大さじ３
水 大2
他おかず 適宜
オイスターソース 大さじ1
スモークサーモン（切り落としでOK！） 適量
かつお節 大さじ3
玉ネギ・長ネギ 適量
醤油 大１
赤ちゃんウエハース 1/3本
たまご ３個
砂糖 少々
カレー粉 小匙　2
人参 ３センチくらい
サラダ油 20g
あんこ 適宜
海苔（口とリボン） 適宜
しょうが・にんにく 各１かけ
下茹でして刻んだドライプルーン 小さじ1/2
ゆずポン酢 適量
氷 4〜5コ
バター 5～10ｇ程度
◎鶏がらスープの素 小さじ１
★薄口醤油 小１／２
ハーブソルト 小さじ１
粉砂糖 出来れば溶けないもの　適宜
塩 ひとつまみ
砂糖 小さじ１～２
インスタントコーヒー 小さじ１山盛り
砂糖 カレースプーン軽く小盛り3
その他お好みの具材 好きなだけ
バター １５ｇ
サラダ油 適量
豆腐 １丁
牛乳 270CC
ピック 2本
アーモンドプードル 50ｇ
ゆずコショウ こさじ1/2
鰹だし(粉末) 4ｇ
牛乳パック 洗った奇麗なもの
油 大さじ１
だし昆布 6ｃｍの長さ
たまご ３個
●酒 大2
ほんだし  小1
◎塩・コショウ 少々
白ゴマ 少々
砂糖・蜂蜜 各大匙1
生姜 ふたかけら
Ａ　塩 少々
黒ごま 大さじ２
水菜 2束
白ワイン（酒） 大1
●ゼラチン 5g
粉チーズ 適量
マッシュルーム 10本
塩コショウ 少々
☆コンソメ顆粒 小１
コショウ 少々
砂糖 大さじ１
青のり　→緑色 少々
バター ５０ｇ
青のり 適量
パン粉（衣用） 適量
　ゆで卵 1個
コチジャン 小匙2程
にら 1/2束
Ａ　粗挽き黒胡椒 適量
●醤油 大さじ1
酢 大匙３
■　塩 小1/4
片栗粉 大1
酒 大さじ２
もやし 60gぐらい
　●塩 一つまみ
パン粉 大さじ２
酒 小さじ1
ごま 適量
ごま油 大さじ１
B　めんつゆ 大2（三倍濃縮）
☆お醤油 大さじ１
オリーブオイル 少し多め
☆めんつゆ（規定より濃い目に薄めて）☆ １５０ｃｃ分
梅干し（梅紫蘇でも） 適量
塩コショウ 少々
しょうゆ 大さじ1強
冷凍えび お好みで
●　はちみつ 大1
バター ２０ｇ
めんつゆ 大さじ1.5～２
パン粉 少々
濃縮麺つゆ 適量
牛乳 大さじ２
卵黄 １個
ドライイースト ３ｇ
●赤パプリカ １/４こ
メープルシロップ（お好みで蜂蜜でも良いかと思います） 大さじ１（くらい）
＊砂糖 大４
砂糖 50g
★酒 大３
薄力粉 100ｇ
卵 ２こ
鷹の爪 少々（お好みで）
唐辛子（小口切り） 適量
片栗粉 小さじ１
★塩、コショウ 少々
胡椒 適宜
3日目　　　玉ねぎ １個
★砂糖 大さじ１
無塩バター ５ｇ
ゴマ油 大さじ　１
桜でんぶ 少々
油（フライパン） 少し多めに
塩 ４ｇ
ウインナー(ウイニーを使用) ４本
はちみつ 大さじ１
ハム（口） 適量
塩、こしょう 適宜
新じゃがいも 6個
味噌 大さじ１
酒 大さじ2
☆鶏がらｽｰﾌﾟの素 小１
カレー粉 小さじ２～３
チーズ（目の中） 適量
オイスターソース 大匙１
薄力粉 200ｇ
人参 少々
揚げ油 適量
白ゴマ（裏巻用） 適量
茹でたけのこ ９０g
長ネギ 1本
●トマト（１センチ角程度にカット） １個
☆オレガノ（乾燥） 適量
砂糖 150ｇ（3/4ｃ）
とろけるチーズ １枚（スライスチーズタイプ）
ほうれんそう 1株
砂糖 小さじ1
醤油 大さじ２
バター 大さじ1
★醤油 小さじ２
小麦粉、塩、こしょう 各適量
レーズン（大人版はラムレーズンで） ４０ｇ
★ 熟味酢 小1
とりがらスープ 大さじ１．５
●オリーブオイル 大さじ１
のり 1/2枚
ホワイト・ソース（Heinz） 1缶
お好きなチーズ 適宜
★醤油 ０．５
･お砂糖 大4-5
☆マヨネーズ 大１
＊ にんにく（摩り下ろし） １かけ
バター 20g
七味やお醤油 お好みで
★酒 大３
コーンやブロッコリー お好みで
★生姜みじん切り １かけ
牛乳 ６５ｇ
塩 適宜
温めたお豆腐（アレンジバージョン） 適量
生姜すりおろし 親指大位
卵白（M） 5個
油揚げ １枚
お酒 少々
しょうが 1かけ
みりん 小さじ1
にんにくしょうゆ（自家製） 大さじ４
砂糖 小さじ1
☆ガーリックパウダー 小1くらい
醤油 大2
卵 １個
醤油 大1/2
水（ゼラチン用） ２５ｃｃ
ホイップクリーム １２０ｃｃ
☆クレイジーソルト 適宜
☆干し椎茸 ひとつかみ
卵 １個
にんにく 1片
ゴマ油（サラダ油） 大さじ３
(お好きな方は)マヨネーズ お好み
料理酒 大さじ２
ハム １枚
マヨネーズ 大1
★市販の濃縮ダシ（めんつゆ） 薄味加減で お好みの量。
絹豆腐（水切り後） 30ｇ
薄力粉 ２２０ｇ
焼き海苔 ４分の１帖
塩 大さじ１
金糸たまご 少々
小麦粉 大1
カレー粉 小さじ1/2～1
☆水 1カップ
旨味調味料（ハイミー） 2～3振り
☆みりん 2００cc
煎りゴマ 適量
 塩 少々
和風だし 小さじ1/2
さくらでんぶ 適量
あれば、ガーリックオイル、なければオイルhttp://cookpad.com/recipe/1056016 少々
にんじん、いちご(飾り） 適当
玉ネギ（みじん切り） 1／4個
ココア 大さじ1/2
　　醤油 小さじ１
酒(追加分) 100cc
みじん切りのたまねぎ お好みで（なくても大丈夫）
塩 少々
パセリ 適量
醤油 大さじ1弱
塩 適量
しょうゆ お好みで
しょうゆまたは白ダシ 適量
塩コショウ 適量
オリーブオイル 大さじ1
にんにく ５ｇ
片栗粉 大1
蓮根 ５～１０㎝
砂糖 大さじ1
ハーブソルト 少々
ごま油 １T
☆卵 １個
人参 20ｇ
水 100cc
お酒 大さじ1
砂糖 小さじ１
カラーピーマン　赤・黄 ４分の１ずつ
すし酢 ５０ｃｃ
ピザ用チーズ お好み
三つ葉 適量
こんにゃく 好きなだけ
ぬるま湯 大さじ1
☆ 酒 小1/2
★醤油 大さじ1
○紅茶液 90ｍｌ
◎白ゴマ 適量
バルサミコ酢 小さじ2
◎砂糖 大2
ぽん酢 大２
●酒 小さじ1
★塩 1つまみ
牛乳 １００～２００㏄
水 大さじ3
海苔 お好みで
★すりごま・炒りごま 各大１
塩・こしょう 適量
ドロソース 少々
煎り胡麻 お好みで
粉ゼラチン 小さじ１
ベーキングパウダー 小さじ2
はちみつ 大さじ2
ラム酒かレモン汁(お好みで) 大匙1
※ぬるま湯(70％～72％) 140～144ｇ
★だしの素 5ｇ
大根（すりおろす） ５㎝
【塩・粗挽き胡椒】 適量
パルメザンチーズ お好みで
A　生クリーム １／２カップ
大根葉（インゲンなどでも、なくてもＯＫ） 適
塩 小さじ１
食紅 少々
●水 １５０ｃｃ
白だし 大さじ１
豆乳 １５０ｃｃ
鶏がらスープの素（李錦記粉末） 付属のスプーン１杯　（１杯　５ｇ）
しょうゆ 大さじ1
生クリーム ２００㏄
オイスターソース 大さじ1
☆白醤油 小１
鷹の爪 1本
★塩 小さじ１／２
★酒 １５ｃｃ
みりん　薄口醤油　濃口醤油 各小１
白菜 1/8個
●顆粒コンソメ 小さじ１
白ごま 適量
醤油（濃口） 大さじ2
☆みりん　塩 少々
片栗粉 大さじ１
スナックエンドウ ２０本
ミルクチョコレート １２０ｇ（板チョコ2枚分）
豆板醤 お好みの量
ウエイパー お好み
ﾍﾞｰｷﾝｸﾞﾊﾟｳﾀﾞｰ 4.5ｸﾞﾗﾑ
塩 ４グラム
★みりん 大さじ１
卵 1個
薄口しょうゆ 適量
塩 適宜
●砂糖 小1と1/2くらい
☆砂糖 120g
片栗粉 適量
オリーブオイル 適量
ごま油 大さじ１
塩・コショウ 少々
サラダ油 大さじ１
ズッキーニ １/２本（７５ｇ）
生姜 ひとかけ（スライス）
マヨネーズ お好きなほど
卵白 卵１個分
塩コショウ 少々
砂糖 大さじ2位
塩コショウ 少々
◆醤油 １
☆黒酢 大さじ１
砂糖 小さじ２
塩 適量
みりん 大さじ１
★お酢 お玉に１杯
塩 小1/6
◆みりん ２０ｃｃ
水 １L（トマトピューレと同量）
♪だしの素 大さじ1/2強～1
黒コショウ お好み
醤油 小２
人参 1/3本
酒 大さじ2
チーズ 適宜
黒糖バナナ酢の酢玉ねぎ 大さじ２
バニラエッセンス（あれば） 適量
バニラオイル 数滴
にんにく(薄切り） 5g
☆砂糖 大さじ２～３
☆はくばく十六殻雑穀 1袋
コンソメスープの素 （固形４個～顆粒可
鰹だし 小さじ１
〇醤油 大３
●黒胡椒 少々
　　　酢 大さじ１／２
★水 50ml
＊酒 大さじ３
オレンジの皮 少々
にんにく １片
ローストガーリック（粒） 少々
インスタントドライイースト ３ｇ
☆しょうゆ 大さじ１
★しょうゆ 大2
みりん 大１
醤油 大さじ２
すりおろしにんにく 適量
卵 ２個
●水 卵と合わせて100cc
すし酢 小1
ピザソース 大さじ１
★刻んだネギ （お好みで）
醤油 大さじ２
だしの調味料 小さじ１
片栗粉 適量
砂糖 小さじ２
酢 大２
特選 丸大豆しょうゆ 大匙3
小麦粉 大1
しめじ 軽くひとつかみ分
卵 １個
牛乳 50cc
にんにく（みじん切り） ２片
Ａ水 50ｃｃ
ニンジン １本
しょうゆ 大さじ1
干しシイタケの戻し汁 少々
砂糖 小さじ　1
みりん 大さじ１
砂糖 大さじ　２
酒 大さじ1
スキムミルク 12グラム
サラミ １本
★ブラックペッパー 適量
★トレハロース（あれば） 10g（なければ砂糖全量30gにして下さい）
砂糖 大さじ1
ニンニク(チューブ) 小さじ１
☆醤油 大匙1/2
●オリーブオイル 少々
塩 ひとつかみ
おぼろ昆布 あれば適宜
●塩 小さじ1/2
鷹の爪 適量
水 大さじ4
◎砂糖 大さじ2
醤油 大さじ２
◎おろししょうが 親指大
ほんだし  大さじ２
ショートパスタ 250ｇ
きざみのり 適量
リスドオル ３００ｇ
酒 大１
みりん 小さじ１
焼きのり 1/2枚
＊胡椒 適量
わさび チューブで２cm位
水 400ｍｌ
しょう油 大さじ４
油 大さじ1
＊ミリン 大さじ2
（あんこ） （なくてもOK☆あれば、1個につき30gくらい）
砂糖 大さじ1
醤油 大さじ1
顆粒コンソメ 小さじ１/２
しょうゆ 大さじ１／２
片栗粉（打ち粉） 適量
ごま 適量
卵 M3個
お好みの具材 適量
塩，コショウ 少々
ガーリックパウダー 適量
きざみ唐辛子 少々
砂糖 大さじ１（お好みで♪）
砂糖 ６０～８０ｇ
みりん 大さじ１
桃屋のラー油 小さじ2
パセリ 少々
○トマト缶 １缶
牛乳 ６５ｇ
シーザードレッシング 大さじ1/2くらい
★お酢 大1
コーヒーリキュール（カルーアを使用、他ラム酒、バニラエッセンスでも） 小さじ1/2
酒 お好み
片栗粉 適量
生姜すりおろし 小さじ２くらい
水 １５０ｇ
Ｂ　牛乳 50cc
水 １ﾘｯﾄﾙ
★牛乳 350cc
卵 1　個
みりん      50cc
レモン汁 大さじ１
ほうれん草 適量
★牛乳 140ml
トマト １個
牛蒡 １本
砂糖 少々
塩 ひとつまみ
ツナ缶 小１缶
片栗粉 大さじ２杯
ホウレンソウ １/２把
白ワイン 50cc
砂糖 適量
片栗粉 適量
コンソメ ３個
有塩バター（普通のバター） 50g
バター 大さじ１
すったニンニク お好みで
ローリエ ２枚
★ベーキングパウダー 小さじ1
グラニュー糖 30ｇ
☆卵 1個
ドライイースト ８ｇ
◎しょうゆ 大さじ１
お好きなフィリング 適量
紅茶（ティーバッグ） ２個
塩・コショウ お好み
　酒、醤油、みりん、水 各大さじ１
寿司用海老 ３切れ
シラタキ ２分の１袋
水 400ml
にんにくチューブ 出して２センチほど
干しえび 大さじ２
◆水 １／２cup
ピザ用チーズ 大さじ３
★水 75cc
レモン汁 大さじ１
塩 少々
卵黄用砂糖 ３０ｇ
バター 30g
かにかまぼこ 適量
　塩 ひとつまみ
豆板醤 小1/4
溶けるチーズ・粉チーズ 適量
○サラダ油 大さじ１
②料理酒 300cc
☆サワークリーム 30g
しょうが ３０ｇ
○ケチャップ 20ｇ
☆塩・コショウ 少々
ステーキしょうゆ（キッコーマン）or焼き肉のたれ 大さじ３
レモン汁（もしくは酢） 大さじ1
塩コショウ 適量
砂糖 大さじ4
オリーブオイル 適量
卵 ４個
砂糖 大さじ３
パプリカ（パウダー） 少々
◆ｼﾞｭｰｽ(お好みの) 150㏄
高野豆腐 1.5枚
オリーブ油 小さじ1
パセリ（飾り付け） 適量
酒 大さじ2
玉ねぎ 1個
みりん    大さじ２
めんつゆ 大さじ4〜5
★酒・砂糖 各大さじ1.5
大葉（好みで） ５～６枚
酒 大さじ１
★砂糖 小さじ２弱
味の素 ちょいちょいと振って
☆水 250cc
片栗粉 ごく少々
白ネギ １０㎝くらい
しょうゆ 大１
戻し汁 カップ１
人参 太め5ｃｍ
ホールトマト ３缶
☆砂糖 小さじ1
塩 ひとつまみ
★みりん 大さじ1
●ＢＰ 小さじ1/2
Ａ：すりおろし生姜＆にんにく 各１かけ
砂糖（ざらめ） ２２０ｇ
●ニンニク １片
★塩 小１／２
味の素 ちょちょいと
みりん 大１
プチトマト 2〜3個
ベーキングパウダー 小さじ1/5
サラダ油 数滴※容器に塗る分です
●顆粒昆布だしの素 少々
●砂糖 小1
＠トマトケチャップ 大匙1/2
顆粒昆布だしの素 少々
固形スープの素 1個
果実酢（グレープフルーツ酢 レシピID：1056524 ） 大さじ2
●砂糖 大１
薄力粉 １００ｇ
さつまいも 適量
☆砂糖 30ｇ
サラダ油 適宜
顆粒こんぶだし 少々
塩コショウ お好みで
マッシュカボチャ 適量
塩こしょう 適量
※香料（バニラ、オレンジオイルなど） 適宜
鰹節(あれば) １袋
レーズン 大さじ３
☆ヨーグルト ５０ｇ
◇砂糖 大さじ１
オイスターソース 大１～２
牛乳 20ｃｃ
★牛乳 １００ｃｃ
にんじん 1/2本
食紅 少々
片栗粉 大さじ2
●麺つゆ(２倍濃縮） 150ｃｃ
粉チーズかベビーチーズ 適量
★みりん 大さじ１
卵 2個
バター 大さじ1
砂糖 ５０～６０ｇ
ココアパウダー 40グラム
イタリアンドレッシング 適量
荒引き胡椒 少々
牛乳（豆乳でも可） １８０ｃｃ
レーズン 20g
もみのり 適宜
酢 大3
海苔巻きチーズ ２本
サラダ油 適量
◆醤油 大2
カレー粉・顆粒コンソメ 各大さじ半分
◎酒 大さじ２
★醤油 大1/2～１
アンチョビペースト 4~5センチ
砂糖 大さじ1/2
※ニンニク 2片分すりおろし
○ネギ、しそ 適量
無塩バター 15g
緑のもの 絹さや・いんげんなど少々
　塩 小さじ１弱
ケチャップ 適量
砂糖 大さじ２
塩 適量
バニラエッセンス 2.3滴
塩＆白胡椒 適宜
酒 小さじ1
塩胡椒 適量
オリーブオイル 適宜
かつおしょうゆ 適量
スライスチーズ ２枚
ナムプラーか韓国鰯エキス 大匙1
レタス １枚くらい
■粒マスタード 小さじ1
豚バラ ３〜４枚
パセリ 適宜
溶き卵 ２個分
○しょうが 大１
塩 適量
しょうが 1かけor　チューブ２センチ
溶き卵 ８０g〜９０g
アーモンドパウダー 20g
塩・こしょう 少々
マヨネーズ 好みで
サラダ油（ごま油でも） 大さじ１
塩 ひとつまみ
水 ２合
◎しょうゆ 大１
　●ベーコンかハムか挽肉 お好みで適量
　ミルクティに足す牛乳 適宜
ダーツチョコ 2箱
卵黄（表面にぬる用） １個分
ラーマ　バター好きのためのマーガリン 大匙2位
りんご（紅玉） 1個（小さめなら２個）
◆めんつゆ 大１
＊　酒 大さじ５
*おだいりさまの服用 約１０㎝の平なの
唐辛子 中２ヶ
バニラエッセンス 少々
白ごま（粗くすったもの） お好みで
ローリエ １枚
ごま油 適量
ケチャップ 大２
練乳 お好みで
ベーコン 10枚
塩・こしょう 少々
上新粉 大さじ3
砂糖 大さじ３
お米 2合
黒ごま 大さじ2～3
ごま油 大さじ１
◎砂糖 小さじ１
高野豆腐 小８個
ケチャップ 少し
バジル お好みで
★醤油 大さじ1～2
紅しょうが 適量
市販ルー １箱(２種類を半箱ずつでも)
バター 大さじ２
☆濃口醤油 ４０CC
＊グラニュー糖 ４０g
砂糖 大１
L卵 3個
揚げ油 適量
青菜　(お好きなもの)　１～２束 ザク切り
★酒 小さじ1
油、醤油、砂糖、ゴマ 少々
ウスターソース 大さじ１
中華だし 小さじ１
ニンニク １片
醤油 数滴
荒挽きこしょう 適宜
ネギの青い部分 １本分
白葱 30g
●薄力粉 ６５ｇ
ゴマ ４粒
無塩バター ２０g
◎塩 少々
和風だし（お湯で溶く） ２００ｃｃ
塩 少々
オリーブオイル 適量
☆ケチャップ おおさじ２杯
○たまご 1コ
塩 少々
水 300ミリ
★みりん 大さじ1.5
★酢 1/2カップ
クコの実 大さじ2
にんにくの芽 ４本
食紅 ちょっと
蒸し鶏（裂いたもの） 適量（無くてもOK）
ナツメグ 少々
★パン粉 適量
海苔、ごま等 お好みで
薄力粉 １００ｇ
塩コショウ 少々
ごま油 大さじ1
◎酢 大さじ4
★白玉粉 100ｸﾞﾗﾑ
麺つゆ（無ければ醤油でも） 小さじ２
●ごま油 大さじ1
塩 ３ｇ
塩・胡椒 適量
ラー油（石垣島ラー油や桃ラーなど） 大さじ1/2
砂糖 50g
牛乳 大さじ３
水 大さじ3
酒 大匙2杯
ケチャップ お好みで
ナツメグ 少々
★砂糖 小1/2
☆すりおろしショウガ(チューブ) ２㎝
チョコレート（抹茶） ６０ｇ
☆酒 大1
バター １５ｇ
３倍濃縮めんつゆ １５０cc
☆卵 中２個
★酢 大さじ1
水 1００ｃｃ
コショウ 好みで少々
しお 小さじ１／２
☆顆粒だし 少々
お醤油 適量
白ワイン 大２
粉末鶏がらスープ 小１
牛乳 大さじ10
☆オタフクソース（普通のソースでも） ティースプーン１杯
サラダ油 １０ｇ
イースト ２．８ｇ
コーン(缶) 適量
しょうゆ 小さじ１
バニラエッセンス 少々
豆乳 50ml
にんじん １/４本
いくら 適量
●梅干　つぶしたもの 小４個（適量）
オリーブオイル 大さじ２
天然塩 小匙 1/2
バルサミコ酢 大さじ1/2
酒 小さじ１
ごま油 大２分の１
サラダ油 10グラム
★みりん 大さじ２
カレー粉 適量
★レモン汁 小1
★だし醤油 小１
●マヨネーズ 100ｇ
醤油 小さじ３
乾燥ひじき 2g
絹さえ ５つ
マヨネーズ 大４
●水 大１
ホワイトソース缶 １缶
生クリーム(動物性と植物性を２：１で） ３００㏄
青のり 適量
●みりん 小1
焼き海苔 同上
いくら 適量
★刻みねぎ 大さじ３
のり 適量
水 200CC
わさび お好みで
牛ひき肉 250ｇ
三つ葉（必ず用意して下さい） １／２束
粉ゼラチン 5g
すし酢 小さじ１
塩鮭 ３切れ
パプリカ（粉かほんもの） 適量
みりん 大さじ1/2
醤油 適量
こしょう 少々
白ワインビネガー 小さじ1
☆クレイジーソルト（塩） 適量
☆しょうゆ 小１弱
☆バルサミコ酢 大さじ2
納豆 1パック
トマトケチャップ 大さじ4
砂糖 ９０ｇ
こしょう 少々
ツナ缶 2缶
いくら 適宜
ナス 1/2本
しょうゆ 適量
みかんピール（代替ＯＫ） 140ｇ
塩 ひとつまみ
きざみのり・しそ（大葉）の千切り 適量
大根の葉 適量
枝豆 適量
だしの素 （お好みで）
塩こしょう 少々
たくあん ２切れ
Ａ水 50cc
パスタ 200グラム
●ごま油　しょうゆ 各大さじ1/2
砂糖 ひとつまみ
薄力粉 200g
＊醤油 大1
市販のつゆの素 適量
しょうゆ 大さじ１
酒 大さじ３
パルメザンチーズ 適量
●砂糖 大さじ1.5
魚肉ソーセージ 好きなだけ
しょうゆ 小さじ1杯
レモン汁 小さじ１/２
うす焼き卵 卵２個分
いくら 適量
ウインナー 小1/2本
チョコレートシロップ 適宜
出汁（白だしを吸い物の濃さにして） ４０ＣＣ
○カレー粉 少々
きゅうり・イクラ 適量
☆ごま 大１
オリーブ油 大さじ１
粉糖(飾り用) 適量
〇バター ２０ｇ
卵白 ２個
醤油 小さじ２
★わさび 適量
卵 一個　
アーモンドプードル ３０ｇ
牛乳 50cc
昆布 ３・４㎝角
塩 3g
●にんにく １片
でんぷ 適量
温かいご飯 ご飯茶碗2杯分
マヨネーズ 小さじ１
◇生クリーム 80ml
ほうれん草 1/2束
◆牛乳 大1
●醤油 小さじ1
しいたけ 適量
ワイン １５０ｃｃ
☆砂糖 大さじ1
◆醤油 大さじ２
＊酒 大さじ2
ドライイースト 小スプーン1(2.8g)
●マヨネーズ 小さじ1
●酢 大さじ2
ごま油 小さじ１
ローリエ・鷹の爪（あれば） 各１
オリーブオイル 大匙1
あんこ　（こしあんorつぶあん） ２００ｇ
☆醤油 大さじ4
A胡麻油と岩塩 適量
たけのこ 半分
パルメザンチーズ（粉チーズ） 大さじ２．５ほど
バター 大１
◆ツナ缶 ２個
生クリーム 200ｍｌ
ラー油もしくはごま油 少々
砂糖 40ｇ
ごはん 小さめおにぎり２個分
水 200ml
鯛の切り身 1切れ
薄力粉 １１０ｇ
玉子 …１個
★卵 Ｍ１個
※　砂糖 大さじ１
オクラ 1袋
たまご ２個
○ヨーグルト 大匙１
マーガリン（バター） 小1
●クミンパウダー 少々
生クリーム 50g
ツナ缶 １缶
白だし 大さじ1/2（大さじ1）
炒り胡麻 大さじ1/2
かつお節 1パック
みつば お好みで
塩コショウ 少々
レンコン水煮 100ｇ
しょうゆ 少々
コンソメ １粒
●みりん 大さじ2
焼酎 １／２カップ程度
ダイエット砂糖 ４０ｇ
コンソメ 大１，５（お玉半量位）
レモン汁 小さじ1と1/2
☆レモン汁（ポッカレモン100） 大さじ1
水 200cc
アンチョビペースト 1㎝
薄力粉 100ｇ
ごま 飾り
新玉ねぎ（あれば） 半分
マヨネーズ 小さじ２ぐらい
無糖ヨーグルト 70g
★お酒 大さじ1
●モラセス（なければハチミツ） 大2
■牛乳（ミルク分） １５０cc
酒 大さじ２
生わかめ 大さじ２
生姜 30ｇ
小麦粉 適量
コショー 少々
醤油 大さじ　１と１/2
小口ねぎ お好み
バター(マーガリン) 5g
　・ごま油 小さじ１
シガークッキー ４本
マヨネーズ 大2～3
だし昆布 ４ｃｍ
◆砂糖 大さじ２
片栗粉 大さじ4～5
玉ねぎ 少々（薄いスライス3切れ分くらい）
パセリ 適量
マヨネーズ 大さじ1
サラダ油 適量
豆腐 1/2丁
☆卵 1/2個
マジックソルト 小さじ　１
●お醤油 小さじ１
　・しょうゆ 小さじ1
・しょうゆ 大さじ2
●酒 大さじ1
■牛乳 大さじ２
●ｷﾘｸﾘｰﾑﾁｰｽﾞ 2個
酒 100cc
めんつゆ 大さじ6
黒胡椒 少々
マーガリン 大さじ１強
砂糖 小さじ１
油 大さじ３
☆塩 小さじ1
☆ごま油  少々
ナツメグ 少々
ピーマン 1/2個
でんぶん(桃) 適宜
サラダ油 少量
胡椒 ちょい
卵 大１個
・砂糖 大さじ1
ブラックペッパー 適量
☆醤油 小さじ２
Ａ：市販の甘酢 ５０ｃｃ位
醤油 小さじ１
ゆず胡椒（あれば） 少々
わかめ １掴み
酒 大さじ2
・コチュジャン 少々
ベビーコーン ２～３本
（塩・こしょう・ソース） 各、適宜
ケチャップ 大さじ３
塩 ０．５グラム
塩コショウ（最後の味調整で） 少々
醤油 大さじ２
レモン汁 大さじ2
砂糖 大匙１
練乳・いちご 適宜
熱湯 ９００ｃｃ
★オタフクソース 小さじ１
